device_id,os_family,browser_family,ip_prefix,first_seen_at
D000000,iOS,Chrome,10.245.180.0/24,2026-01-22 21:12:43
D000001,Android,Firefox,10.207.94.0/24,2026-01-30 20:09:34
D000002,Windows,Edge,10.117.136.0/24,2026-01-13 17:08:28
D000003,Windows,Edge,10.33.99.0/24,2026-01-12 17:11:40
D000004,iOS,Safari,10.191.57.0/24,2026-02-22 18:52:41
D000005,Android,Firefox,10.28.25.0/24,2026-02-26 09:45:44
D000006,Android,Chrome,10.50.101.0/24,2026-01-18 04:31:21
D000007,iOS,Safari,10.226.186.0/24,2026-02-14 20:56:00
D000008,iOS,Chrome,10.44.192.0/24,2026-01-22 02:28:43
D000009,Android,Edge,10.37.99.0/24,2026-01-17 03:10:35
D000010,Android,Firefox,10.32.181.0/24,2026-02-02 11:08:22
D000011,iOS,Safari,10.17.108.0/24,2026-01-29 09:16:13
D000012,Windows,Edge,10.191.27.0/24,2026-02-18 02:08:37
D000013,Android,Firefox,10.210.70.0/24,2026-01-15 04:54:23
D000014,Android,Chrome,10.45.59.0/24,2026-01-28 13:57:29
D000015,Android,Edge,10.61.232.0/24,2026-02-14 08:31:18
D000016,Android,Chrome,10.69.93.0/24,2026-01-08 17:20:26
D000017,Android,Edge,10.77.220.0/24,2026-01-22 18:53:25
D000018,Android,Firefox,10.195.15.0/24,2026-02-24 20:53:05
D000019,iOS,Chrome,10.164.6.0/24,2026-02-21 03:54:58
D000020,Linux,Chrome,10.157.112.0/24,2026-02-22 11:55:40
D000021,macOS,Chrome,10.202.91.0/24,2026-01-28 04:40:44
D000022,Android,Edge,10.4.148.0/24,2026-01-29 03:42:58
D000023,iOS,Safari,10.104.115.0/24,2026-02-03 12:31:30
D000024,iOS,Chrome,10.214.253.0/24,2026-01-07 09:51:30
D000025,Android,Chrome,10.203.17.0/24,2026-02-20 00:32:14
D000026,Linux,Firefox,10.223.30.0/24,2026-02-22 12:05:50
D000027,Android,Chrome,10.102.191.0/24,2026-01-16 19:36:30
D000028,iOS,Chrome,10.240.110.0/24,2026-01-21 08:00:41
D000029,iOS,Chrome,10.75.55.0/24,2026-01-11 00:26:12
D000030,Android,Edge,10.14.161.0/24,2026-02-26 00:11:59
D000031,Android,Chrome,10.213.0.0/24,2026-02-10 04:45:45
D000032,Android,Edge,10.44.57.0/24,2026-02-17 21:46:31
D000033,Android,Edge,10.233.196.0/24,2026-01-09 06:19:06
D000034,iOS,Chrome,10.208.107.0/24,2026-01-14 21:07:23
D000035,Android,Firefox,10.246.143.0/24,2026-01-16 14:40:13
D000036,Android,Edge,10.110.179.0/24,2026-01-15 22:17:50
D000037,Windows,Edge,10.197.148.0/24,2026-01-23 07:41:54
D000038,Windows,Firefox,10.54.173.0/24,2026-01-01 06:05:49
D000039,iOS,Safari,10.254.226.0/24,2026-01-03 06:43:13
D000040,Android,Edge,10.132.186.0/24,2026-02-17 18:52:34
D000041,Android,Chrome,10.101.86.0/24,2026-02-14 01:51:34
D000042,Android,Chrome,10.48.44.0/24,2026-01-12 12:49:19
D000043,Android,Firefox,10.122.189.0/24,2026-02-20 20:19:46
D000044,iOS,Chrome,10.176.34.0/24,2026-02-27 23:54:36
D000045,Android,Firefox,10.103.62.0/24,2026-02-24 11:27:34
D000046,Android,Edge,10.186.22.0/24,2026-02-14 12:28:32
D000047,Android,Firefox,10.119.33.0/24,2026-01-12 19:59:47
D000048,Android,Firefox,10.118.60.0/24,2026-01-18 01:49:57
D000049,Windows,Chrome,10.232.137.0/24,2026-02-17 08:39:09
D000050,Android,Firefox,10.70.30.0/24,2026-01-16 00:41:43
D000051,Android,Chrome,10.241.131.0/24,2026-01-24 17:17:59
D000052,Android,Firefox,10.216.161.0/24,2026-01-24 13:15:38
D000053,Android,Chrome,10.41.201.0/24,2026-02-07 17:10:43
D000054,Windows,Chrome,10.53.100.0/24,2026-02-24 03:01:56
D000055,Windows,Chrome,10.217.18.0/24,2026-01-14 10:22:05
D000056,Android,Edge,10.222.138.0/24,2026-01-19 01:00:47
D000057,iOS,Chrome,10.194.154.0/24,2026-01-08 13:39:47
D000058,Windows,Chrome,10.240.27.0/24,2026-02-12 23:22:44
D000059,Android,Chrome,10.224.47.0/24,2026-02-01 02:52:48
D000060,Windows,Chrome,10.210.41.0/24,2026-02-14 05:05:01
D000061,Android,Firefox,10.30.252.0/24,2026-01-15 01:29:14
D000062,iOS,Chrome,10.129.129.0/24,2026-02-04 09:01:28
D000063,Android,Edge,10.201.246.0/24,2026-02-23 21:01:33
D000064,Android,Edge,10.188.74.0/24,2026-02-10 00:00:29
D000065,iOS,Chrome,10.48.86.0/24,2026-02-16 22:02:56
D000066,macOS,Safari,10.184.208.0/24,2026-02-24 03:41:24
D000067,Linux,Chrome,10.90.91.0/24,2026-02-07 15:43:29
D000068,Android,Chrome,10.252.56.0/24,2026-01-06 12:49:54
D000069,Android,Firefox,10.224.24.0/24,2026-01-17 18:13:00
D000070,Windows,Edge,10.97.156.0/24,2026-02-27 19:38:59
D000071,macOS,Firefox,10.77.63.0/24,2026-02-15 10:35:37
D000072,Android,Chrome,10.155.75.0/24,2026-02-08 20:24:32
D000073,Windows,Firefox,10.6.116.0/24,2026-01-13 23:44:37
D000074,iOS,Safari,10.144.154.0/24,2026-01-30 05:46:36
D000075,Android,Firefox,10.89.209.0/24,2026-02-21 00:58:55
D000076,Android,Edge,10.101.106.0/24,2026-02-25 18:19:48
D000077,Android,Firefox,10.191.137.0/24,2026-01-16 04:46:46
D000078,Windows,Chrome,10.190.188.0/24,2026-02-22 06:09:31
D000079,Android,Firefox,10.136.104.0/24,2026-02-15 23:26:47
D000080,Android,Edge,10.59.104.0/24,2026-01-02 14:29:23
D000081,macOS,Chrome,10.181.27.0/24,2026-02-07 11:57:13
D000082,Windows,Firefox,10.136.26.0/24,2026-01-29 02:12:20
D000083,Android,Chrome,10.163.79.0/24,2026-01-12 21:22:24
D000084,macOS,Firefox,10.207.14.0/24,2026-01-21 14:58:55
D000085,iOS,Safari,10.36.67.0/24,2026-02-27 08:50:33
D000086,macOS,Firefox,10.236.211.0/24,2026-01-20 14:20:34
D000087,Android,Chrome,10.54.34.0/24,2026-01-06 07:26:31
D000088,Android,Firefox,10.18.15.0/24,2026-02-28 09:35:23
D000089,Android,Chrome,10.33.135.0/24,2026-02-18 19:23:33
D000090,iOS,Safari,10.198.9.0/24,2026-02-07 05:22:17
D000091,macOS,Safari,10.163.112.0/24,2026-01-31 19:19:45
