dispute_id,order_id,account_id,dispute_created_at,dispute_phase,dispute_reason_code,dispute_reason_category,respond_by,proof_of_service,explanation_letter,refund_confirmation,access_activity_log,refund_cancellation_policy,terms_and_conditions
DIS0000000,ORD0000436,A000213,2026-01-24 13:01:00,retrieval,duplicate_charge,customer_dispute,2026-01-31 13:01:00,False,False,False,False,True,True
DIS0000001,ORD0000722,A000366,2026-03-08 15:37:37,pre_arbitration,duplicate_charge,customer_dispute,2026-03-15 15:37:37,False,True,False,False,True,True
DIS0000002,ORD0000868,A000442,2026-02-20 01:59:22,pre_arbitration,duplicate_charge,customer_dispute,2026-02-27 01:59:22,True,False,True,True,True,True
DIS0000003,ORD0001175,A000597,2026-02-15 12:54:59,retrieval,item_not_received,customer_dispute,2026-02-22 12:54:59,True,True,True,False,True,True
DIS0000004,ORD0001288,A000654,2026-02-27 01:10:32,pre_arbitration,duplicate_charge,customer_dispute,2026-03-06 01:10:32,True,True,True,True,False,True
DIS0000005,ORD0001316,A000670,2026-02-25 20:27:00,retrieval,unauthorized_transaction,customer_dispute,2026-03-04 20:27:00,True,True,True,True,True,True
DIS0000006,ORD0001344,A000682,2026-03-02 13:50:02,retrieval,item_not_received,customer_dispute,2026-03-09 13:50:02,True,False,False,False,False,True
DIS0000007,ORD0001590,A000787,2026-01-17 02:17:40,retrieval,item_not_received,customer_dispute,2026-01-24 02:17:40,False,True,False,True,True,False
DIS0000008,ORD0001695,A000828,2026-02-07 06:00:00,retrieval,item_not_received,friendly_fraud,2026-02-14 06:00:00,False,True,False,True,True,False
DIS0000009,ORD0001696,A000828,2026-02-09 09:00:00,retrieval,item_not_received,friendly_fraud,2026-02-16 09:00:00,False,True,False,True,True,False
DIS0000010,ORD0001697,A000829,2026-02-05 08:00:00,retrieval,item_not_received,friendly_fraud,2026-02-12 08:00:00,False,True,False,True,True,False
DIS0000011,ORD0001698,A000829,2026-02-09 14:00:00,retrieval,item_not_received,friendly_fraud,2026-02-16 14:00:00,False,True,False,True,True,False
DIS0000012,ORD0001699,A000830,2026-02-07 14:00:00,retrieval,item_not_received,friendly_fraud,2026-02-14 14:00:00,False,True,False,True,True,False
DIS0000013,ORD0001700,A000830,2026-02-08 12:00:00,retrieval,item_not_received,friendly_fraud,2026-02-15 12:00:00,False,True,False,True,True,False
DIS0000014,ORD0001701,A000831,2026-02-07 17:00:00,retrieval,item_not_received,friendly_fraud,2026-02-14 17:00:00,False,True,False,True,True,False
DIS0000015,ORD0001702,A000831,2026-02-09 17:00:00,retrieval,item_not_received,friendly_fraud,2026-02-16 17:00:00,False,True,False,True,True,False
DIS0000016,ORD0001703,A000832,2026-02-05 20:00:00,retrieval,item_not_received,friendly_fraud,2026-02-12 20:00:00,False,True,False,True,True,False
DIS0000017,ORD0001704,A000832,2026-02-09 23:00:00,retrieval,item_not_received,friendly_fraud,2026-02-16 23:00:00,False,True,False,True,True,False
DIS0000018,ORD0001705,A000833,2026-02-07 04:00:00,retrieval,item_not_received,friendly_fraud,2026-02-14 04:00:00,False,True,False,True,True,False
DIS0000019,ORD0001706,A000833,2026-02-11 07:00:00,retrieval,item_not_received,friendly_fraud,2026-02-18 07:00:00,False,True,False,True,True,False
