order_id,account_id,device_id,address_id,phone_hash,instrument_id,amount,discount_amount,coupon_code,category,order_timestamp,delivery_status,delivery_attempts,delivery_timestamp,rto_flag,return_flag,return_reason_code,return_timestamp,return_lag_hours,refund_flag,refund_amount,refund_timestamp,dispute_flag,dispute_phase,dispute_reason_code,dispute_reason_category,evidence_availability
ORD0000000,A000000,D000927,ADDR000009,4db431ce33f02aa8,PI001386,1800.0,0.0,,toys,2026-01-31 19:32:09,delivered,2,2026-02-03 19:32:09,False,False,,,,False,,,False,,,,
ORD0000001,A000000,D000927,ADDR000160,4db431ce33f02aa8,PI001386,17450.0,0.0,,electronics,2026-02-03 20:57:38,delivered,3,2026-02-07 20:57:38,False,False,,,,False,,,False,,,,
ORD0000002,A000001,D000654,ADDR000316,5cfbcac3a8204295,PI000204,4600.0,0.0,,fashion,2026-02-27 19:29:44,delivered,2,2026-03-01 19:29:44,False,False,,,,False,,,False,,,,
ORD0000003,A000001,D000654,ADDR000316,5cfbcac3a8204295,PI000204,2800.0,0.0,,fashion,2026-02-17 12:56:21,delivered,3,2026-02-18 12:56:21,False,False,,,,False,,,False,,,,
ORD0000004,A000001,D000654,ADDR000204,5cfbcac3a8204295,PI000204,4020.0,356.77,,fashion,2026-02-18 01:02:05,delivered,1,2026-02-22 01:02:05,False,False,,,,False,,,False,,,,
ORD0000005,A000003,D000585,ADDR000515,2af6af5577fd981c,PI001264,5020.0,0.0,,home,2026-02-12 03:23:42,delivered,3,2026-02-15 03:23:42,False,False,,,,False,,,False,,,,
ORD0000006,A000003,D000292,ADDR000515,2af6af5577fd981c,PI001264,930.0,0.0,,fashion,2026-02-13 14:23:19,delivered,3,2026-02-17 14:23:19,False,False,,,,False,,,False,,,,
ORD0000007,A000003,D000292,ADDR000515,2af6af5577fd981c,PI001264,17400.0,0.0,,electronics,2026-01-30 07:04:47,delivered,1,2026-02-01 07:04:47,False,False,,,,False,,,False,,,,
ORD0000008,A000003,D000585,ADDR000515,2af6af5577fd981c,PI001264,6490.0,0.0,,home,2026-02-09 19:21:06,delivered,1,2026-02-11 19:21:06,False,False,,,,False,,,False,,,,
ORD0000009,A000004,D000814,ADDR000358,8762006c0334d78d,PI001312,1110.0,0.0,,grocery,2026-01-31 07:54:30,delivered,1,2026-02-02 07:54:30,False,False,,,,False,,,False,,,,
ORD0000010,A000004,D000814,ADDR000585,8762006c0334d78d,PI001312,4200.0,537.08,,home,2026-02-25 13:21:53,delivered,3,2026-02-27 13:21:53,False,False,,,,False,,,False,,,,
ORD0000011,A000005,D000170,ADDR000393,86f95e2a08afaa18,PI001255,4450.0,0.0,,home,2026-02-23 16:55:30,delivered,1,2026-02-26 16:55:30,False,False,,,,False,,,False,,,,
ORD0000012,A000005,D000170,ADDR000371,86f95e2a08afaa18,PI001255,13700.0,0.0,,electronics,2026-01-26 13:40:34,delivered,2,2026-01-27 13:40:34,False,False,,,,False,,,False,,,,
ORD0000013,A000006,D000391,ADDR000422,cb65a279b363a336,PI000960,1960.0,0.0,,toys,2026-01-26 03:25:38,delivered,1,2026-01-28 03:25:38,False,False,,,,False,,,False,,,,
ORD0000014,A000006,D000391,ADDR000221,cb65a279b363a336,PI000519,1060.0,0.0,,toys,2026-02-11 08:30:18,delivered,3,2026-02-14 08:30:18,False,False,,,,False,,,False,,,,
ORD0000015,A000008,D000731,ADDR000255,4db431ce33f02aa8,PI001090,15840.0,1156.66,,electronics,2026-02-26 18:35:53,delivered,2,2026-02-27 18:35:53,False,False,,,,False,,,False,,,,
ORD0000016,A000008,D000731,ADDR000255,4db431ce33f02aa8,PI000173,1690.0,0.0,,books,2026-02-03 22:15:40,failed,2,,True,False,,,,False,,,False,,,,
ORD0000017,A000009,D001065,ADDR000494,0c82c0d6d586a733,PI000287,6920.0,705.05,,home,2026-02-24 15:09:28,delivered,1,2026-02-28 15:09:28,False,False,,,,False,,,False,,,,
ORD0000018,A000011,D000281,ADDR000024,5648e02f433f8b83,PI000474,3170.0,317.23,,home,2026-01-22 06:59:37,delivered,1,2026-01-26 06:59:37,False,False,,,,False,,,False,,,,
ORD0000019,A000011,D000281,ADDR000024,5648e02f433f8b83,PI000474,1920.0,0.0,,home,2026-01-22 05:28:12,delivered,3,2026-01-26 05:28:12,False,False,,,,False,,,False,,,,
ORD0000020,A000011,D000860,ADDR000300,5648e02f433f8b83,PI000474,560.0,0.0,,books,2026-01-29 10:43:23,delivered,1,2026-02-02 10:43:23,False,False,,,,False,,,False,,,,
ORD0000021,A000011,D000281,ADDR000024,5648e02f433f8b83,PI000474,4700.0,0.0,,fashion,2026-02-06 07:42:34,delivered,2,2026-02-09 07:42:34,False,False,,,,False,,,False,,,,
ORD0000022,A000012,D000218,ADDR000153,257007ddbd2091f5,PI000646,1080.0,140.87,,toys,2026-02-09 04:28:12,delivered,2,2026-02-12 04:28:12,False,False,,,,False,,,False,,,,
ORD0000023,A000013,D000784,ADDR000532,1946aa2a21ca7b90,PI001062,1280.0,122.1,,fashion,2026-02-07 02:20:03,delivered,1,2026-02-10 02:20:03,False,False,,,,False,,,False,,,,
ORD0000024,A000013,D000784,ADDR000051,1946aa2a21ca7b90,PI001202,16700.0,0.0,,electronics,2026-02-23 10:19:28,delivered,1,2026-02-25 10:19:28,False,False,,,,False,,,False,,,,
ORD0000025,A000013,D000784,ADDR000051,1946aa2a21ca7b90,PI001062,18480.0,0.0,,electronics,2026-02-04 20:42:10,delivered,2,2026-02-08 20:42:10,False,False,,,,False,,,False,,,,
ORD0000026,A000015,D001090,ADDR000393,c0774e9711f65a08,PI000857,1560.0,0.0,,fashion,2026-02-04 07:17:17,delivered,2,2026-02-08 07:17:17,False,False,,,,False,,,False,,,,
ORD0000027,A000015,D001090,ADDR000328,c0774e9711f65a08,PI000857,1310.0,0.0,,grocery,2026-01-11 15:01:24,delivered,1,2026-01-12 15:01:24,False,False,,,,False,,,False,,,,
ORD0000028,A000015,D001090,ADDR000328,c0774e9711f65a08,PI000718,380.0,56.22,,books,2026-02-13 20:48:42,delivered,3,2026-02-16 20:48:42,False,False,,,,False,,,False,,,,
ORD0000029,A000017,D000747,ADDR000489,340a07633775432a,PI000608,2220.0,0.0,,fashion,2026-02-07 18:13:06,delivered,2,2026-02-09 18:13:06,False,False,,,,False,,,False,,,,
ORD0000030,A000017,D000747,ADDR000489,340a07633775432a,PI000608,4130.0,405.12,,fashion,2026-02-17 13:15:46,delivered,2,2026-02-21 13:15:46,False,False,,,,False,,,False,,,,
ORD0000031,A000018,D000747,ADDR000580,bd95b527ff7e9b7c,PI001245,5070.0,323.17,,home,2026-01-19 16:10:16,failed,1,,True,False,,,,False,,,False,,,,
ORD0000032,A000018,D000533,ADDR000580,bd95b527ff7e9b7c,PI001264,7980.0,601.2,,home,2026-02-10 21:25:40,delivered,1,2026-02-14 21:25:40,False,False,,,,False,,,False,,,,
ORD0000033,A000018,D000533,ADDR000580,bd95b527ff7e9b7c,PI001245,760.0,0.0,,grocery,2026-01-22 21:50:41,delivered,2,2026-01-25 21:50:41,False,False,,,,False,,,False,,,,
ORD0000034,A000018,D000747,ADDR000580,bd95b527ff7e9b7c,PI001245,940.0,58.25,,grocery,2026-02-20 01:17:05,delivered,3,2026-02-23 01:17:05,False,False,,,,False,,,False,,,,
ORD0000035,A000018,D000533,ADDR000233,bd95b527ff7e9b7c,PI001245,3930.0,0.0,,home,2026-02-16 21:57:11,delivered,3,2026-02-19 21:57:11,False,False,,,,False,,,False,,,,
ORD0000036,A000019,D000038,ADDR000036,7954b317697c4158,PI000357,3680.0,0.0,,home,2026-02-13 20:17:28,pending,1,,False,False,,,,False,,,False,,,,
ORD0000037,A000020,D001177,ADDR000338,b22554ca16e8d131,PI001386,2250.0,0.0,,grocery,2026-01-28 03:36:02,delivered,1,2026-02-01 03:36:02,False,False,,,,False,,,False,,,,
ORD0000038,A000020,D001085,ADDR000338,b22554ca16e8d131,PI001386,1560.0,0.0,,toys,2026-01-28 03:26:14,delivered,3,2026-01-30 03:26:14,False,False,,,,False,,,False,,,,
ORD0000039,A000020,D001085,ADDR000338,b22554ca16e8d131,PI001386,4070.0,0.0,,fashion,2026-02-25 02:30:38,failed,2,,True,False,,,,False,,,False,,,,
ORD0000040,A000020,D001085,ADDR000338,b22554ca16e8d131,PI001386,5360.0,283.54,,home,2026-02-18 05:16:00,delivered,2,2026-02-19 05:16:00,False,False,,,,False,,,False,,,,
ORD0000041,A000020,D001085,ADDR000338,b22554ca16e8d131,PI001386,4060.0,469.45,,fashion,2026-02-24 07:16:33,delivered,1,2026-02-25 07:16:33,False,False,,,,False,,,False,,,,
ORD0000042,A000021,D001136,ADDR000141,11c08fb2178be654,PI001352,970.0,0.0,,fashion,2026-02-08 07:11:54,delivered,3,2026-02-11 07:11:54,False,False,,,,False,,,False,,,,
ORD0000043,A000021,D001136,ADDR000141,11c08fb2178be654,PI000454,4220.0,0.0,,fashion,2026-02-23 10:22:07,delivered,1,2026-02-26 10:22:07,False,False,,,,False,,,False,,,,
ORD0000044,A000021,D001136,ADDR000141,11c08fb2178be654,PI001352,13010.0,0.0,,electronics,2026-02-19 15:04:18,delivered,3,2026-02-20 15:04:18,False,False,,,,False,,,False,,,,
ORD0000045,A000023,D000878,ADDR000364,3530ab67e5eefda0,PI001161,2800.0,181.56,,home,2026-02-08 15:16:35,delivered,3,2026-02-11 15:16:35,False,False,,,,False,,,False,,,,
ORD0000046,A000023,D000878,ADDR000537,3530ab67e5eefda0,PI001161,19520.0,0.0,,electronics,2026-02-03 15:00:12,delivered,2,2026-02-04 15:00:12,False,False,,,,False,,,False,,,,
ORD0000047,A000024,D000003,ADDR000016,2eea16811f15fe3a,PI001103,2790.0,0.0,,fashion,2026-02-05 04:14:50,delivered,3,2026-02-08 04:14:50,False,False,,,,False,,,False,,,,
ORD0000048,A000024,D000003,ADDR000412,2eea16811f15fe3a,PI000156,3540.0,0.0,,fashion,2026-02-10 04:25:39,delivered,2,2026-02-11 04:25:39,False,False,,,,False,,,False,,,,
ORD0000049,A000025,D000136,ADDR000189,8d6f19e79db11452,PI000037,3010.0,167.23,,electronics,2026-02-01 01:26:49,delivered,2,2026-02-02 01:26:49,False,False,,,,False,,,False,,,,
ORD0000050,A000025,D000204,ADDR000189,8d6f19e79db11452,PI000037,1080.0,0.0,,fashion,2026-01-14 07:44:32,delivered,3,2026-01-17 07:44:32,False,False,,,,False,,,False,,,,
ORD0000051,A000025,D000136,ADDR000189,8d6f19e79db11452,PI000037,1800.0,0.0,,fashion,2026-01-25 07:53:09,delivered,2,2026-01-28 07:53:09,False,False,,,,False,,,False,,,,
ORD0000052,A000025,D000136,ADDR000189,8d6f19e79db11452,PI000037,3970.0,0.0,,home,2026-02-28 17:59:17,delivered,3,2026-03-02 17:59:17,False,False,,,,False,,,False,,,,
ORD0000053,A000026,D000857,ADDR000580,0c212aa7825ce00c,PI000887,2970.0,442.63,,grocery,2026-02-25 14:31:33,delivered,2,2026-02-28 14:31:33,False,False,,,,False,,,False,,,,
ORD0000054,A000027,D000780,ADDR000000,81294a945120dc8b,PI000048,1780.0,0.0,,fashion,2026-02-14 10:33:27,delivered,2,2026-02-17 10:33:27,False,False,,,,False,,,False,,,,
ORD0000055,A000027,D000780,ADDR000000,81294a945120dc8b,PI000048,4330.0,0.0,,fashion,2026-01-23 18:05:02,delivered,2,2026-01-27 18:05:02,False,False,,,,False,,,False,,,,
ORD0000056,A000028,D000491,ADDR000492,68463e0b2a12f38a,PI001244,2600.0,282.65,,grocery,2026-02-16 08:05:39,delivered,2,2026-02-18 08:05:39,False,False,,,,False,,,False,,,,
ORD0000057,A000029,D000349,ADDR000359,a9cf135371536ac7,PI000781,2560.0,0.0,,fashion,2026-02-26 04:38:20,delivered,2,2026-02-28 04:38:20,False,False,,,,False,,,False,,,,
ORD0000058,A000029,D000349,ADDR000359,a9cf135371536ac7,PI000781,4680.0,1516.65,RARE_670,home,2026-02-01 01:33:36,delivered,3,2026-02-05 01:33:36,False,False,,,,False,,,False,,,,
ORD0000059,A000030,D000851,ADDR000359,4cf317b075b9f3f3,PI000857,4940.0,0.0,,fashion,2026-01-18 14:17:35,delivered,2,2026-01-21 14:17:35,False,False,,,,False,,,False,,,,
ORD0000060,A000030,D000934,ADDR000359,4cf317b075b9f3f3,PI001210,7740.0,2267.78,RARE_540,home,2026-01-15 12:29:18,failed,1,,True,False,,,,False,,,False,,,,
ORD0000061,A000030,D000934,ADDR000359,4cf317b075b9f3f3,PI000857,530.0,75.51,,grocery,2026-02-12 18:14:15,delivered,1,2026-02-13 18:14:15,False,False,,,,False,,,False,,,,
ORD0000062,A000032,D001089,ADDR000237,4db431ce33f02aa8,PI000985,4600.0,0.0,,home,2026-02-26 11:40:59,delivered,3,2026-03-01 11:40:59,False,False,,,,False,,,False,,,,
ORD0000063,A000032,D000525,ADDR000237,4db431ce33f02aa8,PI000985,2540.0,0.0,,fashion,2026-02-11 21:45:23,delivered,3,2026-02-15 21:45:23,False,False,,,,False,,,False,,,,
ORD0000064,A000032,D001089,ADDR000237,4db431ce33f02aa8,PI000985,3280.0,0.0,,fashion,2026-02-13 21:15:47,delivered,1,2026-02-17 21:15:47,False,False,,,,False,,,False,,,,
ORD0000065,A000032,D000525,ADDR000237,4db431ce33f02aa8,PI000985,2690.0,403.16,,fashion,2026-01-12 08:41:04,delivered,3,2026-01-15 08:41:04,False,False,,,,False,,,False,,,,
ORD0000066,A000033,D000131,ADDR000121,6f14369e6af0d24b,PI001373,8320.0,0.0,,electronics,2026-02-04 02:49:55,delivered,3,2026-02-05 02:49:55,False,False,,,,False,,,False,,,,
ORD0000067,A000033,D000131,ADDR000121,6f14369e6af0d24b,PI001229,2240.0,280.44,,fashion,2026-02-24 07:45:32,delivered,1,2026-02-28 07:45:32,False,False,,,,False,,,False,,,,
ORD0000068,A000033,D000131,ADDR000121,6f14369e6af0d24b,PI001373,3150.0,324.31,,fashion,2026-02-24 23:04:33,delivered,1,2026-02-26 23:04:33,False,False,,,,False,,,False,,,,
ORD0000069,A000034,D001169,ADDR000160,ef132e9e7faab419,PI000494,5100.0,0.0,,home,2026-02-13 08:43:37,delivered,3,2026-02-17 08:43:37,False,False,,,,False,,,False,,,,
ORD0000070,A000035,D000726,ADDR000292,8288f1693e885485,PI000351,2820.0,0.0,,grocery,2026-02-26 09:00:13,failed,1,,True,False,,,,False,,,False,,,,
ORD0000071,A000035,D000726,ADDR000292,8288f1693e885485,PI000371,2920.0,0.0,,electronics,2026-01-07 06:26:52,delivered,1,2026-01-08 06:26:52,False,False,,,,False,,,False,,,,
ORD0000072,A000036,D000533,ADDR000343,13b2bbef9a9b970c,PI000461,7220.0,361.89,,electronics,2026-02-02 13:23:39,delivered,1,2026-02-03 13:23:39,False,False,,,,False,,,False,,,,
ORD0000073,A000036,D000533,ADDR000343,13b2bbef9a9b970c,PI000461,4020.0,305.66,,home,2026-02-02 06:21:03,delivered,1,2026-02-05 06:21:03,False,False,,,,False,,,False,,,,
ORD0000074,A000040,D000391,ADDR000065,34e2e0b7e1cacee2,PI000558,920.0,46.44,,grocery,2026-01-24 22:11:50,delivered,2,2026-01-27 22:11:50,False,False,,,,False,,,False,,,,
ORD0000075,A000041,D000048,ADDR000075,38d2753022f19ecb,PI000614,1100.0,0.0,,grocery,2026-02-21 01:05:39,delivered,3,2026-02-22 01:05:39,False,False,,,,False,,,False,,,,
ORD0000076,A000041,D000048,ADDR000537,38d2753022f19ecb,PI000854,8240.0,0.0,,electronics,2026-02-18 12:53:31,delivered,3,2026-02-22 12:53:31,False,False,,,,False,,,False,,,,
ORD0000077,A000041,D000048,ADDR000537,38d2753022f19ecb,PI000614,470.0,0.0,,books,2026-02-01 22:45:18,delivered,3,2026-02-04 22:45:18,False,False,,,,False,,,False,,,,
ORD0000078,A000041,D000484,ADDR000075,38d2753022f19ecb,PI000854,2280.0,0.0,,toys,2026-02-20 20:28:58,delivered,3,2026-02-23 20:28:58,False,False,,,,False,,,False,,,,
ORD0000079,A000042,D000998,ADDR000173,3b58fffd8c9562e3,PI000250,350.0,0.0,,grocery,2026-01-14 01:22:10,delivered,1,2026-01-18 01:22:10,False,False,,,,False,,,False,,,,
ORD0000080,A000042,D000998,ADDR000173,3b58fffd8c9562e3,PI000250,1720.0,0.0,,grocery,2026-02-06 22:18:20,delivered,3,2026-02-08 22:18:20,False,False,,,,False,,,False,,,,
ORD0000081,A000042,D000998,ADDR000173,3b58fffd8c9562e3,PI000250,3160.0,0.0,,toys,2026-01-18 11:23:36,delivered,1,2026-01-22 11:23:36,False,False,,,,False,,,False,,,,
ORD0000082,A000042,D000998,ADDR000051,3b58fffd8c9562e3,PI000250,1460.0,0.0,,grocery,2026-02-17 10:25:11,delivered,2,2026-02-19 10:25:11,False,False,,,,False,,,False,,,,
ORD0000083,A000042,D000998,ADDR000051,3b58fffd8c9562e3,PI000250,14290.0,969.49,,electronics,2026-01-12 08:52:50,delivered,3,2026-01-16 08:52:50,False,False,,,,False,,,False,,,,
ORD0000084,A000043,D000661,ADDR000152,f6f4a68288333f4f,PI001089,12260.0,1674.19,,electronics,2026-02-27 03:36:07,delivered,1,2026-03-02 03:36:07,False,False,,,,False,,,False,,,,
ORD0000085,A000043,D000661,ADDR000451,f6f4a68288333f4f,PI001089,4190.0,367.52,,home,2026-01-30 17:02:12,delivered,3,2026-01-31 17:02:12,False,False,,,,False,,,False,,,,
