account_id_1,account_id_2,edge_type,weight
A000000,A000008,shares_phone,1.0
A000000,A000020,shares_payment_instrument,1.0
A000000,A000032,shares_phone,1.0
A000000,A000034,shares_address,0.7
A000000,A000044,shares_address,0.7
A000000,A000059,shares_device,1.0
A000000,A000061,shares_phone,1.0
A000000,A000073,shares_phone,1.0
A000000,A000077,shares_address,0.7
A000000,A000118,shares_phone,1.0
A000000,A000127,shares_device,1.0
A000000,A000140,shares_phone,1.0
A000000,A000146,shares_address,0.7
A000000,A000162,shares_address,0.7
A000000,A000190,shares_device,1.0
A000000,A000220,shares_payment_instrument,1.0
A000000,A000243,shares_device,1.0
A000000,A000270,shares_phone,1.0
A000000,A000273,shares_address,0.7
A000000,A000291,shares_address,0.7
A000000,A000320,shares_address,0.7
A000000,A000326,shares_address,0.7
A000000,A000343,shares_device,1.0
A000000,A000448,shares_address,0.7
A000000,A000455,shares_address,0.7
A000000,A000510,shares_phone,1.0
A000000,A000516,shares_device,1.0
A000000,A000617,shares_address,0.7
A000000,A000634,shares_address,0.7
A000000,A000660,shares_address,0.7
A000000,A000663,shares_device,1.0
A000000,A000686,shares_phone,1.0
A000000,A000738,shares_phone,1.0
A000000,A000795,shares_payment_instrument,1.0
A000001,A000203,shares_address,0.7
A000001,A000269,shares_address,0.7
A000001,A000399,shares_address,0.7
A000001,A000739,shares_address,0.7
A000003,A000018,shares_payment_instrument,1.0
A000003,A000045,shares_address,0.7
A000003,A000238,shares_device,1.0
A000003,A000306,shares_address,0.7
A000003,A000383,shares_device,1.0
A000003,A000529,shares_device,1.0
A000003,A000606,shares_payment_instrument,1.0
A000003,A000610,shares_payment_instrument,1.0
A000003,A000703,shares_payment_instrument,1.0
A000003,A000759,shares_device,1.0
A000004,A000068,shares_address,0.7
A000004,A000079,shares_address,0.7
A000004,A000158,shares_phone,1.0
A000004,A000467,shares_address,0.7
A000004,A000481,shares_address,0.7
A000004,A000529,shares_address,0.7
A000004,A000664,shares_address,0.7
A000005,A000055,shares_address,0.7
A000005,A000159,shares_address,0.7
A000005,A000373,shares_address,0.7
A000005,A000378,shares_phone,1.0
A000005,A000497,shares_address,0.7
A000005,A000525,shares_phone,1.0
A000005,A000560,shares_address,0.7
A000005,A000597,shares_device,1.0
A000005,A000670,shares_address,0.7
A000005,A000723,shares_payment_instrument,1.0
A000006,A000040,shares_device,1.0
A000006,A000238,shares_address,0.7
A000006,A000524,shares_address,0.7
A000006,A000676,shares_payment_instrument,1.0
A000006,A000783,shares_phone,1.0
A000008,A000032,shares_phone,1.0
A000008,A000061,shares_phone,1.0
A000008,A000073,shares_phone,1.0
A000008,A000084,shares_address,0.7
A000008,A000118,shares_phone,1.0
A000008,A000133,shares_address,0.7
A000008,A000140,shares_phone,1.0
A000008,A000173,shares_address,0.7
A000008,A000270,shares_phone,1.0
A000008,A000510,shares_phone,1.0
A000008,A000686,shares_phone,1.0
A000008,A000738,shares_phone,1.0
A000011,A000076,shares_address,0.7
A000011,A000079,shares_device,1.0
A000011,A000084,shares_address,0.7
A000011,A000127,shares_payment_instrument,1.0
A000011,A000212,shares_address,0.7
A000011,A000220,shares_address,0.7
A000011,A000232,shares_address,0.7
A000011,A000241,shares_address,0.7
A000011,A000243,shares_address,0.7
A000011,A000264,shares_address,0.7
A000011,A000286,shares_address,0.7
A000011,A000349,shares_device,1.0
A000011,A000393,shares_address,0.7
A000011,A000472,shares_address,0.7
A000011,A000490,shares_phone,1.0
A000011,A000496,shares_payment_instrument,1.0
A000011,A000519,shares_address,0.7
A000011,A000548,shares_payment_instrument,1.0
A000011,A000585,shares_phone,1.0
A000011,A000606,shares_address,0.7
A000011,A000703,shares_address,0.7
A000011,A000735,shares_address,0.7
A000012,A000101,shares_phone,1.0
A000012,A000445,shares_address,0.7
A000012,A000457,shares_phone,1.0
A000012,A000575,shares_address,0.7
A000012,A000608,shares_phone,1.0
A000013,A000042,shares_address,0.7
A000013,A000070,shares_address,0.7
A000013,A000086,shares_address,0.7
A000013,A000140,shares_payment_instrument,1.0
A000013,A000163,shares_phone,1.0
A000013,A000178,shares_address,0.7
A000013,A000195,shares_address,0.7
A000013,A000228,shares_address,0.7
A000013,A000233,shares_address,0.7
A000013,A000254,shares_device,1.0
A000013,A000257,shares_address,0.7
A000013,A000279,shares_address,0.7
A000013,A000359,shares_address,0.7
A000013,A000465,shares_address,0.7
A000013,A000529,shares_phone,1.0
A000013,A000532,shares_device,1.0
A000013,A000597,shares_phone,1.0
A000015,A000030,shares_payment_instrument,1.0
A000015,A000181,shares_address,0.7
A000015,A000194,shares_device,1.0
A000015,A000202,shares_address,0.7
A000015,A000252,shares_address,0.7
A000015,A000352,shares_payment_instrument,1.0
A000015,A000366,shares_device,1.0
A000015,A000379,shares_device,1.0
A000015,A000422,shares_address,0.7
A000015,A000466,shares_address,0.7
A000015,A000470,shares_address,0.7
A000015,A000530,shares_address,0.7
A000015,A000557,shares_payment_instrument,1.0
A000015,A000630,shares_payment_instrument,1.0
A000015,A000764,shares_payment_instrument,1.0
A000015,A000785,shares_address,0.7
A000015,A000790,shares_address,0.7
A000017,A000018,shares_device,1.0
A000017,A000084,shares_device,1.0
A000017,A000128,shares_device,1.0
A000017,A000148,shares_address,0.7
A000017,A000195,shares_device,1.0
A000017,A000267,shares_device,1.0
A000017,A000332,shares_address,0.7
A000017,A000396,shares_phone,1.0
A000017,A000577,shares_device,1.0
A000017,A000606,shares_device,1.0
A000017,A000788,shares_device,1.0
A000018,A000036,shares_device,1.0
A000018,A000077,shares_device,1.0
A000018,A000084,shares_device,1.0
A000018,A000119,shares_address,0.7
A000018,A000126,shares_address,0.7
A000018,A000128,shares_device,1.0
A000018,A000168,shares_payment_instrument,1.0
A000018,A000195,shares_device,1.0
A000018,A000229,shares_device,1.0
A000018,A000235,shares_phone,1.0
A000018,A000251,shares_payment_instrument,1.0
A000018,A000267,shares_device,1.0
A000018,A000280,shares_device,1.0
A000018,A000419,shares_address,0.7
A000018,A000438,shares_device,1.0
A000018,A000460,shares_phone,1.0
A000018,A000574,shares_address,0.7
A000018,A000577,shares_device,1.0
A000018,A000589,shares_address,0.7
A000018,A000606,shares_device,1.0
A000018,A000610,shares_payment_instrument,1.0
A000018,A000617,shares_device,1.0
A000018,A000621,shares_payment_instrument,1.0
A000018,A000622,shares_device,1.0
A000018,A000654,shares_address,0.7
A000018,A000661,shares_address,0.7
A000018,A000671,shares_address,0.7
A000018,A000703,shares_payment_instrument,1.0
A000018,A000737,shares_address,0.7
A000018,A000761,shares_address,0.7
A000018,A000788,shares_device,1.0
A000019,A000052,shares_address,0.7
A000019,A000132,shares_phone,1.0
A000019,A000137,shares_payment_instrument,1.0
A000019,A000162,shares_phone,1.0
A000019,A000168,shares_address,0.7
A000019,A000195,shares_address,0.7
A000019,A000215,shares_device,1.0
A000019,A000270,shares_address,0.7
A000019,A000277,shares_device,1.0
A000019,A000294,shares_address,0.7
A000019,A000296,shares_address,0.7
A000019,A000392,shares_address,0.7
A000019,A000419,shares_payment_instrument,1.0
A000019,A000474,shares_address,0.7
A000019,A000496,shares_address,0.7
A000019,A000506,shares_address,0.7
A000019,A000507,shares_address,0.7
A000019,A000561,shares_payment_instrument,1.0
A000019,A000589,shares_address,0.7
A000019,A000602,shares_address,0.7
A000019,A000633,shares_address,0.7
A000019,A000684,shares_address,0.7
A000019,A000697,shares_address,0.7
A000019,A000700,shares_phone,1.0
A000019,A000715,shares_payment_instrument,1.0
A000019,A000737,shares_device,1.0
A000019,A000754,shares_address,0.7
A000019,A000773,shares_device,1.0
A000019,A000793,shares_device,1.0
A000020,A000178,shares_phone,1.0
A000020,A000220,shares_payment_instrument,1.0
A000020,A000570,shares_phone,1.0
A000020,A000606,shares_phone,1.0
A000020,A000795,shares_payment_instrument,1.0
A000021,A000338,shares_payment_instrument,1.0
A000021,A000350,shares_device,1.0
A000021,A000418,shares_device,1.0
A000021,A000569,shares_address,0.7
A000023,A000041,shares_address,0.7
A000023,A000185,shares_phone,1.0
A000023,A000305,shares_address,0.7
A000023,A000317,shares_address,0.7
A000023,A000335,shares_payment_instrument,1.0
A000023,A000343,shares_address,0.7
A000023,A000345,shares_address,0.7
A000023,A000425,shares_address,0.7
A000023,A000494,shares_device,1.0
A000023,A000599,shares_address,0.7
A000023,A000676,shares_address,0.7
A000023,A000720,shares_device,1.0
A000024,A000215,shares_phone,1.0
A000024,A000382,shares_address,0.7
A000024,A000484,shares_phone,1.0
A000024,A000502,shares_address,0.7
A000024,A000514,shares_payment_instrument,1.0
A000024,A000526,shares_phone,1.0
A000024,A000587,shares_device,1.0
A000024,A000686,shares_address,0.7
A000024,A000730,shares_payment_instrument,1.0
A000024,A000780,shares_address,0.7
A000024,A000795,shares_address,0.7
A000025,A000052,shares_payment_instrument,1.0
A000025,A000061,shares_address,0.7
A000025,A000062,shares_address,0.7
A000025,A000080,shares_phone,1.0
A000025,A000095,shares_payment_instrument,1.0
A000025,A000103,shares_address,0.7
A000025,A000129,shares_address,0.7
A000025,A000132,shares_device,1.0
A000025,A000185,shares_device,1.0
A000025,A000205,shares_phone,1.0
A000025,A000322,shares_device,1.0
A000025,A000380,shares_address,0.7
A000025,A000448,shares_device,1.0
A000025,A000485,shares_address,0.7
A000025,A000497,shares_payment_instrument,1.0
A000025,A000526,shares_address,0.7
A000025,A000544,shares_device,1.0
A000025,A000642,shares_device,1.0
A000025,A000649,shares_phone,1.0
A000025,A000664,shares_device,1.0
A000025,A000703,shares_device,1.0
A000027,A000611,shares_phone,1.0
A000027,A000634,shares_device,1.0
A000028,A000079,shares_address,0.7
A000028,A000150,shares_address,0.7
A000028,A000172,shares_address,0.7
A000028,A000394,shares_phone,1.0
A000028,A000421,shares_payment_instrument,1.0
A000028,A000442,shares_phone,1.0
A000028,A000473,shares_address,0.7
A000029,A000030,shares_address,0.7
A000029,A000050,shares_address,0.7
A000029,A000186,shares_address,0.7
A000029,A000294,shares_address,0.7
A000030,A000050,shares_address,0.7
A000030,A000186,shares_address,0.7
A000030,A000252,shares_device,1.0
A000030,A000294,shares_address,0.7
A000030,A000352,shares_payment_instrument,1.0
A000030,A000451,shares_phone,1.0
A000030,A000462,shares_device,1.0
A000030,A000480,shares_phone,1.0
A000030,A000557,shares_payment_instrument,1.0
A000030,A000576,shares_phone,1.0
A000030,A000630,shares_payment_instrument,1.0
A000030,A000684,shares_phone,1.0
A000030,A000761,shares_phone,1.0
A000030,A000764,shares_payment_instrument,1.0
A000032,A000061,shares_phone,1.0
A000032,A000073,shares_phone,1.0
A000032,A000086,shares_address,0.7
A000032,A000111,shares_address,0.7
A000032,A000118,shares_phone,1.0
A000032,A000134,shares_device,1.0
A000032,A000140,shares_phone,1.0
A000032,A000152,shares_address,0.7
A000032,A000235,shares_device,1.0
A000032,A000270,shares_phone,1.0
A000032,A000291,shares_device,1.0
A000032,A000297,shares_device,1.0
A000032,A000301,shares_address,0.7
A000032,A000311,shares_address,0.7
A000032,A000359,shares_address,0.7
A000032,A000383,shares_address,0.7
A000032,A000501,shares_address,0.7
A000032,A000510,shares_phone,1.0
A000032,A000514,shares_address,0.7
A000032,A000557,shares_payment_instrument,1.0
A000032,A000686,shares_phone,1.0
A000032,A000738,shares_phone,1.0
A000032,A000749,shares_address,0.7
A000032,A000789,shares_address,0.7
A000033,A000111,shares_address,0.7
A000033,A000180,shares_address,0.7
A000033,A000358,shares_address,0.7
A000033,A000567,shares_phone,1.0
A000034,A000044,shares_address,0.7
A000034,A000077,shares_address,0.7
A000034,A000258,shares_phone,1.0
A000034,A000273,shares_address,0.7
A000034,A000320,shares_address,0.7
A000034,A000455,shares_address,0.7
A000034,A000516,shares_address,0.7
A000034,A000617,shares_address,0.7
A000034,A000634,shares_address,0.7
A000035,A000128,shares_address,0.7
A000035,A000132,shares_address,0.7
A000035,A000138,shares_address,0.7
A000035,A000202,shares_phone,1.0
A000035,A000296,shares_payment_instrument,1.0
A000035,A000300,shares_device,1.0
A000035,A000301,shares_device,1.0
A000035,A000332,shares_payment_instrument,1.0
A000035,A000333,shares_payment_instrument,1.0
A000035,A000372,shares_address,0.7
A000035,A000379,shares_phone,1.0
A000035,A000397,shares_device,1.0
A000035,A000412,shares_device,1.0
A000035,A000416,shares_address,0.7
A000035,A000423,shares_address,0.7
A000035,A000426,shares_device,1.0
A000035,A000470,shares_payment_instrument,1.0
A000035,A000509,shares_device,1.0
A000035,A000510,shares_payment_instrument,1.0
A000035,A000511,shares_device,1.0
A000035,A000513,shares_address,0.7
A000035,A000521,shares_address,0.7
A000035,A000538,shares_address,0.7
A000035,A000541,shares_device,1.0
A000035,A000561,shares_payment_instrument,1.0
A000035,A000577,shares_payment_instrument,1.0
A000035,A000602,shares_device,1.0
A000035,A000621,shares_address,0.7
A000035,A000711,shares_phone,1.0
A000035,A000729,shares_address,0.7
A000035,A000738,shares_address,0.7
A000035,A000754,shares_device,1.0
A000035,A000789,shares_payment_instrument,1.0
A000036,A000077,shares_device,1.0
A000036,A000087,shares_payment_instrument,1.0
A000036,A000090,shares_payment_instrument,1.0
A000036,A000229,shares_device,1.0
A000036,A000266,shares_address,0.7
A000036,A000280,shares_device,1.0
A000036,A000391,shares_address,0.7
A000036,A000422,shares_phone,1.0
A000036,A000438,shares_device,1.0
A000036,A000492,shares_address,0.7
A000036,A000542,shares_phone,1.0
A000036,A000617,shares_device,1.0
A000036,A000622,shares_device,1.0
A000040,A000107,shares_payment_instrument,1.0
A000040,A000143,shares_address,0.7
A000040,A000359,shares_phone,1.0
A000040,A000479,shares_phone,1.0
A000040,A000537,shares_phone,1.0
A000040,A000559,shares_address,0.7
A000040,A000700,shares_address,0.7
A000040,A000701,shares_payment_instrument,1.0
A000040,A000736,shares_phone,1.0
A000040,A000779,shares_address,0.7
A000040,A000780,shares_phone,1.0
A000040,A000781,shares_payment_instrument,1.0
A000041,A000106,shares_payment_instrument,1.0
A000041,A000118,shares_payment_instrument,1.0
A000041,A000305,shares_address,0.7
A000041,A000317,shares_address,0.7
A000041,A000353,shares_device,1.0
A000041,A000567,shares_payment_instrument,1.0
