account_id,total_orders,total_amount,avg_order_value,distinct_devices,distinct_addresses,distinct_phones,distinct_payment_instruments,total_delivered_orders,total_failed_orders,total_pending_orders,coupon_usage_rate,discount_dependency_score,total_returns,avg_return_lag_hours,total_refunds,total_refund_amount,total_disputes,return_rate,refund_rate,dispute_rate,account_age_days,orders_last_24h,orders_last_7d,orders_last_30d,refunds_last_24h,refunds_last_7d,refunds_last_30d,return_rate_last_30d,transaction_burst_score,refund_burst_score,account_creation_burst_score,accounts_per_device,shared_device_count,accounts_per_address,shared_address_count,accounts_per_phone,shared_phone_count,accounts_per_instrument,shared_instrument_count,shared_ip_prefix_count
A000000,2.0,19250.0,9625.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.41172453703704,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,8.0,7.0,8.5,15.0,11.0,10.0,4.0,3.0,1.0
A000001,2.0,6820.0,3410.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.04437437810945273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.555266203703702,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,3.0,4.0,1.0,0.0,1.0,0.0,0.0
A000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.50758101851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000003,4.0,29840.0,7460.0,2.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.776319444444443,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.0,4.0,3.0,2.0,1.0,0.0,5.0,4.0,1.0
A000004,1.0,1110.0,1110.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.66318287037037,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,7.0,6.0,2.0,1.0,1.0,0.0,0.0
A000005,1.0,13700.0,13700.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.926944444444445,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,1.0,7.0,6.0,3.0,2.0,2.0,1.0,0.0
A000006,2.0,3020.0,1510.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.647291666666668,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1.0,2.0,2.0,2.0,1.0,1.5,1.0,0.0
A000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.93880787037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000008,1.0,1690.0,1690.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.334537037037038,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,4.0,3.0,11.0,10.0,1.0,0.0,0.0
A000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.32790509259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.93667824074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000011,4.0,10350.0,2587.5,2.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.02501813880126183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.41008101851852,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.0,9.0,16.0,3.0,2.0,4.0,3.0,1.0
A000012,1.0,1080.0,1080.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.13043518518518518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.109548611111112,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,3.0,2.0,4.0,3.0,1.0,0.0,0.0
A000013,2.0,19760.0,9880.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.047695312499999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.998692129629628,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3.0,2.0,7.0,12.0,4.0,3.0,2.0,1.0,1.0
A000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.68482638888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000015,3.0,3250.0,1083.3333333333333,1.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.04931578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.71875,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.0,3.0,5.5,9.0,1.0,0.0,3.5,5.0,3.0
A000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.34034722222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000017,2.0,6350.0,3175.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.04904600484261501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.426875,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9.0,8.0,3.0,2.0,2.0,1.0,1.0,0.0,2.0
A000018,4.0,17740.0,4435.0,2.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,0.03476999080541591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.564050925925926,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8.5,15.0,7.0,12.0,3.0,2.0,4.5,7.0,0.0
A000019,1.0,3680.0,3680.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.72969907407408,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6.0,5.0,20.0,19.0,4.0,3.0,5.0,4.0,1.0
A000020,3.0,9170.0,3056.6666666666665,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.01763308457711443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.246689814814815,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,1.0,0.0,4.0,3.0,4.0,3.0,0.0
A000021,2.0,13980.0,6990.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.40189814814815,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5,3.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0
A000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.739456018518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000023,2.0,22320.0,11160.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.03242142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.25666666666667,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.0,2.0,5.0,8.0,2.0,1.0,2.0,1.0,1.0
A000024,2.0,6330.0,3165.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.57472222222222,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,3.5,5.0,4.0,3.0,2.0,2.0,0.0
A000025,3.0,5890.0,1963.3333333333333,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.01851937984496124,1.0,48.0,1.0,1800.0,0.0,0.3333333333333333,0.3333333333333333,0.0,46.232280092592596,0.0,0.0,2.0,0.0,0.0,1.0,0.5,0.0,0.0,2,5.0,8.0,9.0,8.0,4.0,3.0,4.0,3.0,1.0
A000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.629502314814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000027,2.0,6110.0,3055.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.575393518518517,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0
A000028,1.0,2600.0,2600.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.10871153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.736828703703704,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,5.0,4.0,3.0,2.0,2.0,1.0,0.0
A000029,1.0,4680.0,4680.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.32407051282051286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.692314814814814,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0
A000030,3.0,13210.0,4403.333333333333,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.3333333333333333,0.14515551005151708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.37871527777778,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.0,5.0,4.0,6.0,5.0,3.5,5.0,0.0
A000031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.661828703703705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000032,3.0,8510.0,2836.6666666666665,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.04995786864931847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.052824074074074,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0,4.0,13.0,12.0,11.0,10.0,2.0,1.0,0.0
A000033,1.0,8320.0,8320.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.207627314814815,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0
A000034,1.0,5100.0,5100.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.657916666666665,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,10.0,9.0,2.0,1.0,1.0,0.0,0.0
A000035,1.0,2920.0,2920.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.78650462962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11.0,10.0,18.0,17.0,10.0,9.0,16.0,15.0,0.0
A000036,2.0,11240.0,5620.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.06307904728435386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.32454861111111,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.0,7.0,4.0,3.0,3.0,2.0,3.0,2.0,0.0
A000037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.550196759259258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.337418981481484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.50650462962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000040,1.0,920.0,920.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.050478260869565215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.2512037037037,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,5.0,4.0,6.0,5.0,4.0,3.0,0.0
A000041,2.0,8710.0,4355.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.61630787037037,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3.0,2.0,5.0,4.0,2.0,1.0,3.0,4.0,1.0
