account_id,total_orders,total_amount,avg_order_value,distinct_devices,distinct_addresses,distinct_phones,distinct_payment_instruments,total_delivered_orders,total_failed_orders,total_pending_orders,coupon_usage_rate,discount_dependency_score,total_returns,avg_return_lag_hours,total_refunds,total_refund_amount,total_disputes,return_rate,refund_rate,dispute_rate,account_age_days,orders_last_24h,orders_last_7d,orders_last_30d,refunds_last_24h,refunds_last_7d,refunds_last_30d,return_rate_last_30d,transaction_burst_score,refund_burst_score,account_creation_burst_score,accounts_per_device,shared_device_count,accounts_per_address,shared_address_count,accounts_per_phone,shared_phone_count,accounts_per_instrument,shared_instrument_count,shared_ip_prefix_count,degree_centrality,eigenvector_centrality,triangle_count,clustering_coefficient,connected_component_size,shared_edge_count,shared_edge_weight_sum,community_id,community_size,community_return_rate,community_refund_rate,community_avg_order_value,community_total_orders
A000000,2.0,19250.0,9625.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.41172453703704,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,8.0,7.0,8.5,15.0,11.0,10.0,4.0,3.0,1.0,0.03403403403403403,0.04191108246744842,126,0.19754507247281697,585,34,29.8,7,41,0.054878048780487805,0.04959349593495935,4002.6355013550137,103.0
A000001,2.0,6820.0,3410.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0443743781094527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.555266203703702,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,3.0,4.0,1.0,0.0,1.0,0.0,0.0,0.004004004004004004,0.0006030173262843128,2,0.2333333333333333,585,4,2.8,6,42,0.023809523809523808,0.023809523809523808,3971.0997732426304,78.0
A000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.50758101851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.269414257282076e-51,0,0.0,1,0,0.0,18,1,0.0,0.0,0.0,0.0
A000003,4.0,29840.0,7460.0,2.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.776319444444443,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.0,4.0,3.0,2.0,1.0,0.0,5.0,4.0,1.0,0.01001001001001001,0.009467416526578435,11,0.23307496702912275,585,10,9.4,0,68,0.02818627450980392,0.02622549019607843,2868.4758403361343,162.0
A000004,1.0,1110.0,1110.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.66318287037037,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,7.0,6.0,2.0,1.0,1.0,0.0,0.0,0.007007007007007007,0.002095486353364249,15,0.4999999999999999,585,7,5.199999999999999,0,68,0.02818627450980392,0.02622549019607843,2868.4758403361343,162.0
A000005,1.0,13700.0,13700.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.926944444444445,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,1.0,7.0,6.0,3.0,2.0,2.0,1.0,0.0,0.01001001001001001,0.00193343320698328,16,0.25555555555555554,585,10,8.2,4,56,0.012499999999999999,0.011607142857142858,4977.3005952380945,128.0
A000006,2.0,3020.0,1510.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.647291666666668,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1.0,2.0,2.0,2.0,1.0,1.5,1.0,0.0,0.005005005005005005,0.0010212174852153918,0,0.0,585,5,4.4,8,41,0.010975609756097562,0.00975609756097561,4760.349593495936,81.0
A000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.93880787037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.269414257282076e-51,0,0.0,1,0,0.0,19,1,0.0,0.0,0.0,0.0
A000008,1.0,1690.0,1690.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.33453703703704,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,4.0,3.0,11.0,10.0,1.0,0.0,0.0,0.013013013013013013,0.031050081783326706,50,0.6253368912570912,585,13,12.1,7,41,0.054878048780487805,0.04959349593495935,4002.6355013550137,103.0
A000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.32790509259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.269414257282076e-51,0,0.0,1,0,0.0,20,1,0.0,0.0,0.0,0.0
