feature,importance
account_age_days,471
clustering_coefficient,335
shared_ip_prefix_count,292
account_creation_burst_score,201
community_avg_order_value,199
shared_edge_weight_sum,198
community_return_rate,182
total_amount,129
refund_rate,116
shared_device_count,110
avg_order_value,103
eigenvector_centrality,101
accounts_per_address,96
total_returns,89
degree_centrality,89
triangle_count,82
total_orders,77
accounts_per_instrument,64
discount_dependency_score,63
total_delivered_orders,45
accounts_per_device,40
coupon_usage_rate,40
shared_address_count,30
community_refund_rate,29
return_rate,29
community_size,27
shared_instrument_count,24
avg_return_lag_hours,19
accounts_per_phone,14
orders_last_30d,13
total_refunds,10
shared_edge_count,10
orders_last_7d,7
community_total_orders,4
total_refund_amount,3
shared_phone_count,2
connected_component_size,2
refunds_last_30d,1
distinct_phones,1
distinct_devices,1
distinct_addresses,0
total_pending_orders,0
total_disputes,0
distinct_payment_instruments,0
total_failed_orders,0
transaction_burst_score,0
dispute_rate,0
return_rate_last_30d,0
orders_last_24h,0
refunds_last_7d,0
