refund_id,order_id,account_id,refund_timestamp,refund_amount,refund_reason,refund_status,refund_method
REF0000000,ORD0000051,A000025,2026-01-31 02:53:09,1800.0,size_fit,processed,original_payment
REF0000001,ORD0000068,A000033,2026-03-01 16:04:33,3150.0,not_as_described,processed,bank_transfer
REF0000002,ORD0000084,A000043,2026-03-06 09:36:07,12260.0,changed_mind,processed,wallet
REF0000003,ORD0000135,A000064,2026-02-07 00:07:34,3870.0,changed_mind,processed,original_payment
REF0000004,ORD0000149,A000073,2026-02-05 15:19:01,4430.0,size_fit,processed,original_payment
REF0000005,ORD0000163,A000081,2026-03-01 02:07:47,2390.0,size_fit,processed,wallet
REF0000006,ORD0000204,A000098,2026-02-17 09:56:39,2960.0,not_as_described,processed,wallet
REF0000007,ORD0000226,A000109,2026-01-22 18:28:42,1630.0,changed_mind,processed,original_payment
REF0000008,ORD0000238,A000114,2026-03-01 00:23:17,1620.0,changed_mind,processed,wallet
REF0000009,ORD0000269,A000132,2026-02-23 00:45:57,3550.0,not_as_described,processed,original_payment
REF0000010,ORD0000394,A000194,2026-02-21 06:46:54,2200.0,size_fit,processed,bank_transfer
REF0000011,ORD0000414,A000204,2026-02-14 04:59:24,2390.0,size_fit,processed,wallet
REF0000012,ORD0000421,A000207,2026-02-03 20:26:32,2860.0,size_fit,processed,original_payment
REF0000013,ORD0000484,A000238,2026-02-20 23:57:16,3520.0,size_fit,processed,wallet
REF0000014,ORD0000518,A000257,2026-01-28 15:01:33,3220.0,changed_mind,processed,bank_transfer
REF0000015,ORD0000589,A000294,2026-02-28 00:55:52,2690.0,changed_mind,processed,wallet
REF0000016,ORD0000594,A000295,2026-02-02 15:09:49,2230.0,not_as_described,processed,bank_transfer
REF0000017,ORD0000632,A000317,2026-01-24 15:43:56,10110.0,changed_mind,processed,wallet
REF0000018,ORD0000646,A000329,2026-03-05 17:40:34,2400.0,not_as_described,processed,bank_transfer
REF0000019,ORD0000649,A000332,2026-02-24 10:58:56,980.0,changed_mind,processed,original_payment
REF0000020,ORD0000682,A000351,2026-02-14 09:56:28,890.0,not_as_described,processed,original_payment
REF0000021,ORD0000722,A000366,2026-03-06 02:37:37,2550.0,not_as_described,processed,wallet
REF0000022,ORD0000740,A000375,2026-01-21 13:20:07,950.0,changed_mind,processed,bank_transfer
REF0000023,ORD0000743,A000377,2026-01-30 04:36:20,3920.0,not_as_described,processed,bank_transfer
REF0000024,ORD0000767,A000387,2026-03-03 12:03:09,1420.0,not_as_described,processed,bank_transfer
REF0000025,ORD0000774,A000391,2026-03-06 22:31:42,1840.0,not_as_described,processed,bank_transfer
REF0000026,ORD0000794,A000403,2026-02-17 19:29:57,2080.0,not_as_described,processed,wallet
REF0000027,ORD0000825,A000421,2026-03-04 15:20:52,1000.0,not_as_described,processed,original_payment
REF0000028,ORD0000840,A000432,2026-02-05 22:42:59,1760.0,size_fit,processed,bank_transfer
REF0000029,ORD0000871,A000445,2026-02-04 07:25:31,2240.0,size_fit,processed,wallet
REF0000030,ORD0000971,A000492,2026-02-21 00:09:57,1450.0,size_fit,processed,original_payment
REF0000031,ORD0000997,A000502,2026-02-25 17:57:23,4850.0,not_as_described,processed,original_payment
REF0000032,ORD0001044,A000529,2026-01-27 19:47:20,950.0,changed_mind,processed,bank_transfer
REF0000033,ORD0001068,A000545,2026-02-21 02:55:43,6730.0,size_fit,processed,original_payment
REF0000034,ORD0001100,A000561,2026-01-25 03:43:56,4120.0,size_fit,processed,original_payment
REF0000035,ORD0001157,A000587,2026-03-03 06:17:35,2790.0,changed_mind,processed,bank_transfer
REF0000036,ORD0001160,A000587,2026-02-12 08:41:28,1610.0,not_as_described,processed,original_payment
REF0000037,ORD0001220,A000616,2026-02-06 15:42:02,770.0,not_as_described,processed,original_payment
REF0000038,ORD0001313,A000667,2026-03-02 16:52:38,5300.0,not_as_described,processed,bank_transfer
REF0000039,ORD0001314,A000668,2026-02-28 05:27:36,2610.0,size_fit,processed,wallet
REF0000040,ORD0001317,A000671,2026-03-04 06:58:29,4310.0,changed_mind,processed,bank_transfer
REF0000041,ORD0001322,A000673,2026-02-10 09:42:00,1410.0,size_fit,processed,wallet
REF0000042,ORD0001355,A000686,2026-02-04 21:58:28,4570.0,changed_mind,processed,original_payment
REF0000043,ORD0001381,A000695,2026-02-21 18:42:09,2450.0,changed_mind,processed,original_payment
REF0000044,ORD0001432,A000718,2026-02-04 18:05:08,2460.0,size_fit,processed,bank_transfer
REF0000045,ORD0001567,A000776,2026-02-24 07:53:41,9220.0,changed_mind,processed,original_payment
REF0000046,ORD0001613,A000800,2026-01-18 08:00:00,7678.0,not_as_described,processed,wallet
REF0000047,ORD0001614,A000800,2026-01-22 05:00:00,6251.0,size_fit,processed,wallet
REF0000048,ORD0001615,A000800,2026-01-21 16:00:00,6012.0,not_as_described,processed,wallet
REF0000049,ORD0001617,A000801,2026-01-17 11:00:00,7158.0,not_as_described,processed,bank_transfer
REF0000050,ORD0001618,A000801,2026-01-21 20:00:00,6228.0,not_as_described,processed,wallet
REF0000051,ORD0001619,A000801,2026-01-21 01:00:00,6333.0,not_as_described,processed,wallet
REF0000052,ORD0001621,A000802,2026-01-19 22:00:00,8527.0,size_fit,processed,wallet
REF0000053,ORD0001622,A000802,2026-01-19 01:00:00,4649.0,size_fit,processed,wallet
