account_id,abuse_ring_id,true_ring_member,ring_type,ring_start_time,ring_end_time
A000000,,False,,,
A000001,,False,,,
A000002,,False,,,
A000003,,False,,,
A000004,,False,,,
A000005,,False,,,
A000006,,False,,,
A000007,,False,,,
A000008,,False,,,
A000009,,False,,,
A000010,,False,,,
A000011,,False,,,
A000012,,False,,,
A000013,,False,,,
A000014,,False,,,
A000015,,False,,,
A000016,,False,,,
A000017,,False,,,
A000018,,False,,,
A000019,,False,,,
A000020,,False,,,
A000021,,False,,,
A000022,,False,,,
A000023,,False,,,
A000024,,False,,,
A000025,,False,,,
A000026,,False,,,
A000027,,False,,,
A000028,,False,,,
A000029,,False,,,
A000030,,False,,,
A000031,,False,,,
A000032,,False,,,
A000033,,False,,,
A000034,,False,,,
A000035,,False,,,
A000036,,False,,,
A000037,,False,,,
A000038,,False,,,
A000039,,False,,,
A000040,,False,,,
A000041,,False,,,
A000042,,False,,,
A000043,,False,,,
A000044,,False,,,
A000045,,False,,,
A000046,,False,,,
A000047,,False,,,
A000048,,False,,,
A000049,,False,,,
A000050,,False,,,
A000051,,False,,,
A000052,,False,,,
A000053,,False,,,
A000054,,False,,,
A000055,,False,,,
A000056,,False,,,
A000057,,False,,,
A000058,,False,,,
A000059,,False,,,
A000060,,False,,,
A000061,,False,,,
A000062,,False,,,
A000063,,False,,,
A000064,,False,,,
A000065,,False,,,
A000066,,False,,,
A000067,,False,,,
A000068,,False,,,
A000069,,False,,,
A000070,,False,,,
A000071,,False,,,
A000072,,False,,,
A000073,,False,,,
A000074,,False,,,
A000075,,False,,,
A000076,,False,,,
A000077,,False,,,
A000078,,False,,,
A000079,,False,,,
A000080,,False,,,
A000081,,False,,,
A000082,,False,,,
A000083,,False,,,
A000084,,False,,,
A000085,,False,,,
A000086,,False,,,
A000087,,False,,,
A000088,,False,,,
A000089,,False,,,
A000090,,False,,,
A000091,,False,,,
A000092,,False,,,
A000093,,False,,,
A000094,,False,,,
A000095,,False,,,
A000096,,False,,,
A000097,,False,,,
A000098,,False,,,
A000099,,False,,,
A000100,,False,,,
A000101,,False,,,
A000102,,False,,,
A000103,,False,,,
A000104,,False,,,
A000105,,False,,,
A000106,,False,,,
A000107,,False,,,
A000108,,False,,,
A000109,,False,,,
A000110,,False,,,
A000111,,False,,,
A000112,,False,,,
A000113,,False,,,
A000114,,False,,,
A000115,,False,,,
A000116,,False,,,
A000117,,False,,,
A000118,,False,,,
A000119,,False,,,
A000120,,False,,,
A000121,,False,,,
A000122,,False,,,
A000123,,False,,,
A000124,,False,,,
A000125,,False,,,
A000126,,False,,,
A000127,,False,,,
A000128,,False,,,
A000129,,False,,,
A000130,,False,,,
A000131,,False,,,
A000132,,False,,,
A000133,,False,,,
A000134,,False,,,
A000135,,False,,,
A000136,,False,,,
A000137,,False,,,
A000138,,False,,,
A000139,,False,,,
A000140,,False,,,
A000141,,False,,,
A000142,,False,,,
A000143,,False,,,
A000144,,False,,,
A000145,,False,,,
A000146,,False,,,
A000147,,False,,,
A000148,,False,,,
A000149,,False,,,
A000150,,False,,,
A000151,,False,,,
A000152,,False,,,
A000153,,False,,,
A000154,,False,,,
A000155,,False,,,
A000156,,False,,,
A000157,,False,,,
A000158,,False,,,
A000159,,False,,,
A000160,,False,,,
A000161,,False,,,
A000162,,False,,,
A000163,,False,,,
A000164,,False,,,
A000165,,False,,,
A000166,,False,,,
A000167,,False,,,
A000168,,False,,,
A000169,,False,,,
A000170,,False,,,
A000171,,False,,,
A000172,,False,,,
A000173,,False,,,
A000174,,False,,,
A000175,,False,,,
A000176,,False,,,
A000177,,False,,,
A000178,,False,,,
A000179,,False,,,
A000180,,False,,,
A000181,,False,,,
A000182,,False,,,
A000183,,False,,,
A000184,,False,,,
A000185,,False,,,
A000186,,False,,,
A000187,,False,,,
A000188,,False,,,
A000189,,False,,,
A000190,,False,,,
A000191,,False,,,
A000192,,False,,,
A000193,,False,,,
A000194,,False,,,
A000195,,False,,,
A000196,,False,,,
A000197,,False,,,
A000198,,False,,,
A000199,,False,,,
A000200,,False,,,
A000201,,False,,,
A000202,,False,,,
A000203,,False,,,
A000204,,False,,,
A000205,,False,,,
A000206,,False,,,
A000207,,False,,,
A000208,,False,,,
A000209,,False,,,
A000210,,False,,,
A000211,,False,,,
A000212,,False,,,
A000213,,False,,,
A000214,,False,,,
A000215,,False,,,
A000216,,False,,,
A000217,,False,,,
A000218,,False,,,
A000219,,False,,,
A000220,,False,,,
A000221,,False,,,
A000222,,False,,,
A000223,,False,,,
A000224,,False,,,
A000225,,False,,,
A000226,,False,,,
A000227,,False,,,
A000228,,False,,,
A000229,,False,,,
A000230,,False,,,
A000231,,False,,,
A000232,,False,,,
A000233,,False,,,
A000234,,False,,,
A000235,,False,,,
A000236,,False,,,
A000237,,False,,,
A000238,,False,,,
A000239,,False,,,
A000240,,False,,,
A000241,,False,,,
A000242,,False,,,
A000243,,False,,,
A000244,,False,,,
A000245,,False,,,
A000246,,False,,,
A000247,,False,,,
A000248,,False,,,
A000249,,False,,,
A000250,,False,,,
A000251,,False,,,
A000252,,False,,,
A000253,,False,,,
A000254,,False,,,
A000255,,False,,,
A000256,,False,,,
A000257,,False,,,
A000258,,False,,,
A000259,,False,,,
A000260,,False,,,
A000261,,False,,,
A000262,,False,,,
A000263,,False,,,
A000264,,False,,,
A000265,,False,,,
A000266,,False,,,
A000267,,False,,,
A000268,,False,,,
A000269,,False,,,
A000270,,False,,,
A000271,,False,,,
A000272,,False,,,
A000273,,False,,,
A000274,,False,,,
A000275,,False,,,
A000276,,False,,,
A000277,,False,,,
A000278,,False,,,
A000279,,False,,,
A000280,,False,,,
A000281,,False,,,
A000282,,False,,,
A000283,,False,,,
A000284,,False,,,
A000285,,False,,,
A000286,,False,,,
A000287,,False,,,
A000288,,False,,,
A000289,,False,,,
A000290,,False,,,
A000291,,False,,,
A000292,,False,,,
A000293,,False,,,
A000294,,False,,,
A000295,,False,,,
A000296,,False,,,
A000297,,False,,,
A000298,,False,,,
A000299,,False,,,
A000300,,False,,,
A000301,,False,,,
A000302,,False,,,
A000303,,False,,,
A000304,,False,,,
A000305,,False,,,
A000306,,False,,,
A000307,,False,,,
A000308,,False,,,
A000309,,False,,,
A000310,,False,,,
A000311,,False,,,
A000312,,False,,,
A000313,,False,,,
A000314,,False,,,
A000315,,False,,,
