dispute_id,order_id,account_id,dispute_created_at,dispute_phase,dispute_reason_code,dispute_reason_category,respond_by,proof_of_service,explanation_letter,refund_confirmation,access_activity_log,refund_cancellation_policy,terms_and_conditions
DIS0000000,ORD0000438,A000214,2026-03-04 22:41:49,retrieval,unauthorized_transaction,customer_dispute,2026-03-11 22:41:49,True,True,False,True,False,True
DIS0000001,ORD0000724,A000367,2026-01-26 15:29:20,pre_arbitration,item_not_received,customer_dispute,2026-02-02 15:29:20,True,False,False,False,False,True
DIS0000002,ORD0000870,A000444,2026-02-14 08:30:34,retrieval,unauthorized_transaction,customer_dispute,2026-02-21 08:30:34,True,True,False,True,True,True
DIS0000003,ORD0001019,A000511,2026-02-25 18:26:16,pre_arbitration,item_not_received,customer_dispute,2026-03-04 18:26:16,True,True,False,False,True,True
DIS0000004,ORD0001177,A000599,2026-01-21 12:03:25,retrieval,unauthorized_transaction,customer_dispute,2026-01-28 12:03:25,True,False,True,True,True,True
DIS0000005,ORD0001290,A000654,2026-01-19 05:31:46,pre_arbitration,item_not_received,customer_dispute,2026-01-26 05:31:46,False,True,True,True,True,False
DIS0000006,ORD0001318,A000671,2026-02-17 17:34:00,retrieval,unauthorized_transaction,customer_dispute,2026-02-24 17:34:00,True,False,True,True,True,True
DIS0000007,ORD0001592,A000788,2026-02-20 16:09:41,retrieval,unauthorized_transaction,customer_dispute,2026-02-27 16:09:41,True,True,False,False,False,False
DIS0000008,ORD0001693,A000828,2026-02-07 01:00:00,retrieval,item_not_received,friendly_fraud,2026-02-14 01:00:00,False,True,False,True,True,False
DIS0000009,ORD0001694,A000828,2026-02-09 07:00:00,retrieval,item_not_received,friendly_fraud,2026-02-16 07:00:00,False,True,False,True,True,False
DIS0000010,ORD0001695,A000829,2026-02-07 11:00:00,retrieval,item_not_received,friendly_fraud,2026-02-14 11:00:00,False,True,False,True,True,False
DIS0000011,ORD0001696,A000829,2026-02-09 15:00:00,retrieval,item_not_received,friendly_fraud,2026-02-16 15:00:00,False,True,False,True,True,False
DIS0000012,ORD0001697,A000830,2026-02-07 16:00:00,retrieval,item_not_received,friendly_fraud,2026-02-14 16:00:00,False,True,False,True,True,False
DIS0000013,ORD0001698,A000830,2026-02-09 09:00:00,retrieval,item_not_received,friendly_fraud,2026-02-16 09:00:00,False,True,False,True,True,False
DIS0000014,ORD0001699,A000831,2026-02-07 22:00:00,retrieval,item_not_received,friendly_fraud,2026-02-14 22:00:00,False,True,False,True,True,False
DIS0000015,ORD0001700,A000831,2026-02-09 20:00:00,retrieval,item_not_received,friendly_fraud,2026-02-16 20:00:00,False,True,False,True,True,False
DIS0000016,ORD0001701,A000832,2026-02-06 22:00:00,retrieval,item_not_received,friendly_fraud,2026-02-13 22:00:00,False,True,False,True,True,False
DIS0000017,ORD0001702,A000832,2026-02-09 18:00:00,retrieval,item_not_received,friendly_fraud,2026-02-16 18:00:00,False,True,False,True,True,False
DIS0000018,ORD0001703,A000833,2026-02-08 02:00:00,retrieval,item_not_received,friendly_fraud,2026-02-15 02:00:00,False,True,False,True,True,False
DIS0000019,ORD0001704,A000833,2026-02-10 01:00:00,retrieval,item_not_received,friendly_fraud,2026-02-17 01:00:00,False,True,False,True,True,False
