account_id,community_id
A000000,7
A000001,6
A000002,18
A000003,0
A000004,0
A000005,4
A000006,8
A000007,19
A000008,7
A000009,20
A000010,21
A000011,9
A000012,4
A000013,3
A000014,22
A000015,10
A000016,23
A000017,5
A000018,11
A000019,5
A000020,4
A000021,3
A000022,24
A000023,8
A000024,9
A000025,0
A000026,25
A000027,10
A000028,0
A000029,4
A000030,8
A000031,26
A000032,7
A000033,8
A000034,11
A000035,5
A000036,11
A000037,27
A000038,28
A000039,29
A000040,1
A000041,8
A000042,3
A000043,2
A000044,11
A000045,3
A000046,30
A000047,6
A000048,31
A000049,2
A000050,4
A000051,6
A000052,5
A000053,8
A000054,1
A000055,4
A000056,1
A000057,10
A000058,0
A000059,2
A000060,11
A000061,7
A000062,0
A000063,0
A000064,3
A000065,32
A000066,3
A000067,33
A000068,0
A000069,34
A000070,3
A000071,35
A000072,10
A000073,7
A000074,8
A000075,36
A000076,9
A000077,11
A000078,37
A000079,0
A000080,8
A000081,1
A000082,6
A000083,38
A000084,0
A000085,0
A000086,3
A000087,3
A000088,0
A000089,11
A000090,3
A000091,39
A000092,40
A000093,4
A000094,2
A000095,7
A000096,8
A000097,41
A000098,2
A000099,2
A000100,7
A000101,4
A000102,9
A000103,0
A000104,42
A000105,43
A000106,8
A000107,1
A000108,44
A000109,0
A000110,1
A000111,7
A000112,45
A000113,2
A000114,46
A000115,4
A000116,47
A000117,48
A000118,7
A000119,11
A000120,2
A000121,2
A000122,1
A000123,1
A000124,3
A000125,49
A000126,0
A000127,9
A000128,5
A000129,0
A000130,11
A000131,10
A000132,5
A000133,0
A000134,2
A000135,1
A000136,3
A000137,5
A000138,5
A000139,50
A000140,7
A000141,51
A000142,52
A000143,4
A000144,3
A000145,53
A000146,0
A000147,1
A000148,8
A000149,8
A000150,0
A000151,1
A000152,7
A000153,9
A000154,54
A000155,0
A000156,55
A000157,56
A000158,6
A000159,4
A000160,3
A000161,9
A000162,2
A000163,3
A000164,57
A000165,4
A000166,58
A000167,1
A000168,5
A000169,1
A000170,10
A000171,59
A000172,0
A000173,1
A000174,7
A000175,6
A000176,60
A000177,1
A000178,3
A000179,61
A000180,9
A000181,0
A000182,62
A000183,6
A000184,63
A000185,0
A000186,4
A000187,2
A000188,2
A000189,64
A000190,9
A000191,65
A000192,66
A000193,67
A000194,2
A000195,5
A000196,68
A000197,4
A000198,69
A000199,70
A000200,71
A000201,72
A000202,5
A000203,2
A000204,4
A000205,10
A000206,10
A000207,6
A000208,73
A000209,2
A000210,74
A000211,0
A000212,9
A000213,1
A000214,75
A000215,1
A000216,76
A000217,9
A000218,10
A000219,77
A000220,0
A000221,3
A000222,7
A000223,8
A000224,3
A000225,6
A000226,78
A000227,4
A000228,3
A000229,11
A000230,79
A000231,80
A000232,0
A000233,4
A000234,81
A000235,7
A000236,9
A000237,0
A000238,0
A000239,82
A000240,1
A000241,9
A000242,0
A000243,9
A000244,8
A000245,6
A000246,4
A000247,4
A000248,83
A000249,2
A000250,84
A000251,9
A000252,2
A000253,1
A000254,3
A000255,2
A000256,85
A000257,2
A000258,4
A000259,86
A000260,11
A000261,8
A000262,10
A000263,87
A000264,9
A000265,6
A000266,0
A000267,6
A000268,0
A000269,6
A000270,5
A000271,4
A000272,1
A000273,11
A000274,4
A000275,88
A000276,89
A000277,1
A000278,3
A000279,3
A000280,11
A000281,1
A000282,10
A000283,90
A000284,2
A000285,1
A000286,9
A000287,1
A000288,91
A000289,92
A000290,1
A000291,7
A000292,6
A000293,2
A000294,5
A000295,10
A000296,5
A000297,7
A000298,7
A000299,0
A000300,5
A000301,5
A000302,4
A000303,93
A000304,94
A000305,8
A000306,6
A000307,95
A000308,1
A000309,96
A000310,97
A000311,7
A000312,98
A000313,99
A000314,100
A000315,1
A000316,101
A000317,8
A000318,102
A000319,4
A000320,11
A000321,103
A000322,0
A000323,104
A000324,3
A000325,2
A000326,1
A000327,105
A000328,3
A000329,106
A000330,107
A000331,3
A000332,5
A000333,5
A000334,7
A000335,1
A000336,108
A000337,8
A000338,3
A000339,109
A000340,0
A000341,110
A000342,10
A000343,9
A000344,111
A000345,8
A000346,112
A000347,9
A000348,1
A000349,6
A000350,3
A000351,1
A000352,10
A000353,4
A000354,113
A000355,7
A000356,3
A000357,10
A000358,4
A000359,3
A000360,1
A000361,114
A000362,0
A000363,115
A000364,3
A000365,10
A000366,1
A000367,9
A000368,11
A000369,116
A000370,117
A000371,3
A000372,5
A000373,1
A000374,8
A000375,4
A000376,1
A000377,3
A000378,4
A000379,5
A000380,0
A000381,3
A000382,2
A000383,7
A000384,2
A000385,6
A000386,118
A000387,3
A000388,119
A000389,6
A000390,2
A000391,0
A000392,5
A000393,0
A000394,0
A000395,1
A000396,8
A000397,10
