device_id,os_family,browser_family,ip_prefix,first_seen_at
D000000,Android,Edge,10.65.41.0/24,2026-02-01 09:52:39
D000001,Android,Chrome,10.127.161.0/24,2026-01-06 00:53:33
D000002,Windows,Chrome,10.143.63.0/24,2026-02-01 09:32:06
D000003,macOS,Firefox,10.58.42.0/24,2026-02-15 01:47:29
D000004,iOS,Chrome,10.147.227.0/24,2026-01-12 08:57:01
D000005,Windows,Edge,10.211.122.0/24,2026-01-22 20:11:55
D000006,Linux,Chrome,10.58.242.0/24,2026-01-17 11:44:53
D000007,Android,Chrome,10.187.252.0/24,2026-01-09 17:38:11
D000008,iOS,Chrome,10.65.50.0/24,2026-01-31 15:00:30
D000009,iOS,Safari,10.154.182.0/24,2026-01-04 05:27:09
D000010,iOS,Safari,10.10.25.0/24,2026-02-20 02:12:46
D000011,Android,Edge,10.66.164.0/24,2026-02-10 03:31:05
D000012,Windows,Firefox,10.60.37.0/24,2026-01-20 19:02:44
D000013,Android,Edge,10.50.16.0/24,2026-02-15 01:31:54
D000014,Android,Edge,10.132.114.0/24,2026-02-27 14:57:46
D000015,Android,Edge,10.85.199.0/24,2026-02-05 21:57:09
D000016,Android,Firefox,10.249.117.0/24,2026-02-22 02:50:29
D000017,Windows,Edge,10.159.208.0/24,2026-01-03 19:53:35
D000018,iOS,Safari,10.74.136.0/24,2026-02-19 17:06:02
D000019,Android,Edge,10.157.86.0/24,2026-02-28 09:28:19
D000020,iOS,Safari,10.85.53.0/24,2026-01-16 07:54:29
D000021,macOS,Chrome,10.80.11.0/24,2026-01-14 00:28:35
D000022,Android,Firefox,10.44.149.0/24,2026-01-16 17:27:44
D000023,macOS,Safari,10.215.81.0/24,2026-02-15 06:57:45
D000024,Android,Edge,10.59.213.0/24,2026-01-07 06:23:11
D000025,Android,Chrome,10.122.226.0/24,2026-02-19 23:18:09
D000026,iOS,Safari,10.82.188.0/24,2026-02-09 22:05:32
D000027,Android,Firefox,10.177.236.0/24,2026-02-21 16:30:15
D000028,macOS,Chrome,10.56.196.0/24,2026-01-07 02:42:41
D000029,iOS,Chrome,10.0.1.0/24,2026-02-08 07:09:36
D000030,Windows,Firefox,10.193.186.0/24,2026-01-17 02:04:40
D000031,Android,Edge,10.225.72.0/24,2026-01-30 08:57:18
D000032,iOS,Safari,10.230.112.0/24,2026-02-06 10:57:10
D000033,iOS,Safari,10.10.86.0/24,2026-01-04 12:46:05
D000034,Android,Firefox,10.118.41.0/24,2026-02-14 19:15:18
D000035,Android,Firefox,10.15.103.0/24,2026-01-07 04:47:42
D000036,macOS,Chrome,10.117.47.0/24,2026-01-23 20:43:55
D000037,Windows,Chrome,10.187.75.0/24,2026-01-29 15:31:29
D000038,Windows,Edge,10.178.1.0/24,2026-01-14 05:22:10
D000039,Android,Edge,10.194.194.0/24,2026-02-03 08:53:03
D000040,Windows,Firefox,10.116.56.0/24,2026-01-07 13:14:28
D000041,Android,Firefox,10.186.136.0/24,2026-02-17 13:37:17
D000042,Android,Edge,10.105.122.0/24,2026-02-18 12:05:43
D000043,Android,Firefox,10.79.155.0/24,2026-02-15 03:50:47
D000044,iOS,Safari,10.52.36.0/24,2026-01-09 16:05:36
D000045,Android,Edge,10.106.165.0/24,2026-01-27 02:33:40
D000046,Android,Firefox,10.149.165.0/24,2026-02-13 12:18:00
D000047,Android,Edge,10.23.173.0/24,2026-01-26 10:03:59
D000048,iOS,Safari,10.234.224.0/24,2026-02-14 05:33:36
D000049,Android,Firefox,10.244.106.0/24,2026-01-15 15:34:24
D000050,Android,Firefox,10.44.164.0/24,2026-02-09 11:02:52
D000051,Windows,Firefox,10.207.30.0/24,2026-01-22 01:14:38
D000052,Android,Edge,10.148.54.0/24,2026-02-21 01:44:05
D000053,iOS,Chrome,10.67.116.0/24,2026-01-21 11:25:28
D000054,Android,Edge,10.82.104.0/24,2026-02-20 10:15:51
D000055,Android,Chrome,10.245.86.0/24,2026-01-16 20:32:00
D000056,iOS,Chrome,10.238.107.0/24,2026-02-01 20:09:34
D000057,Android,Firefox,10.154.31.0/24,2026-02-13 02:43:01
D000058,Windows,Edge,10.123.201.0/24,2026-02-14 04:21:12
D000059,Android,Chrome,10.24.141.0/24,2026-02-23 20:01:57
D000060,Android,Edge,10.205.33.0/24,2026-01-25 06:45:41
D000061,Android,Edge,10.133.253.0/24,2026-01-27 08:24:56
D000062,iOS,Chrome,10.132.48.0/24,2026-02-25 14:44:35
D000063,Android,Edge,10.165.102.0/24,2026-02-10 01:56:44
D000064,Android,Chrome,10.50.186.0/24,2026-01-21 12:13:36
D000065,iOS,Safari,10.73.185.0/24,2026-01-08 21:00:28
D000066,iOS,Safari,10.69.61.0/24,2026-01-16 02:28:44
D000067,Android,Edge,10.40.151.0/24,2026-02-07 21:15:22
D000068,Windows,Firefox,10.11.13.0/24,2026-01-12 00:13:35
D000069,Windows,Edge,10.184.217.0/24,2026-01-22 23:23:05
D000070,Android,Firefox,10.211.103.0/24,2026-02-12 21:32:21
D000071,Android,Edge,10.168.205.0/24,2026-01-17 05:25:03
D000072,Windows,Edge,10.46.13.0/24,2026-02-07 14:49:56
D000073,Android,Chrome,10.112.222.0/24,2026-02-25 05:19:52
D000074,iOS,Chrome,10.35.255.0/24,2026-02-21 13:27:03
D000075,Windows,Edge,10.7.28.0/24,2026-01-01 08:20:08
D000076,Android,Chrome,10.42.245.0/24,2026-01-25 13:10:22
D000077,Android,Edge,10.181.244.0/24,2026-02-27 15:01:52
D000078,Windows,Firefox,10.248.141.0/24,2026-02-23 11:48:50
D000079,Android,Firefox,10.118.158.0/24,2026-01-25 01:14:19
D000080,iOS,Safari,10.30.138.0/24,2026-01-23 12:29:15
D000081,Windows,Edge,10.102.105.0/24,2026-01-07 12:50:09
D000082,Android,Firefox,10.148.73.0/24,2026-01-22 00:31:21
D000083,Android,Chrome,10.152.109.0/24,2026-02-13 21:06:53
D000084,macOS,Chrome,10.66.30.0/24,2026-02-05 19:59:16
D000085,Windows,Chrome,10.175.5.0/24,2026-02-04 17:43:17
D000086,Windows,Edge,10.184.161.0/24,2026-01-15 18:23:32
D000087,Android,Chrome,10.105.254.0/24,2026-02-07 21:14:06
D000088,Windows,Firefox,10.188.47.0/24,2026-01-14 00:37:25
D000089,iOS,Safari,10.249.25.0/24,2026-02-07 19:11:02
D000090,macOS,Firefox,10.215.38.0/24,2026-01-13 11:58:16
D000091,Android,Chrome,10.113.115.0/24,2026-02-19 03:09:34
D000092,iOS,Safari,10.164.120.0/24,2026-02-07 23:04:42
D000093,Android,Chrome,10.12.105.0/24,2026-01-15 04:10:56
D000094,macOS,Chrome,10.106.24.0/24,2026-01-31 06:40:45
D000095,Android,Edge,10.46.186.0/24,2026-01-10 20:25:37
D000096,Android,Chrome,10.222.113.0/24,2026-01-07 23:23:49
D000097,Android,Edge,10.5.88.0/24,2026-01-10 05:53:26
D000098,iOS,Chrome,10.70.19.0/24,2026-01-07 17:05:04
