dispute_id,order_id,account_id,dispute_created_at,dispute_phase,dispute_reason_code,dispute_reason_category,respond_by,proof_of_service,explanation_letter,refund_confirmation,access_activity_log,refund_cancellation_policy,terms_and_conditions
DIS0000000,ORD0000042,A000021,2026-02-13 07:11:54,pre_arbitration,duplicate_charge,customer_dispute,2026-02-20 07:11:54,True,True,False,False,True,True
DIS0000001,ORD0000207,A000098,2026-03-05 08:49:06,retrieval,unauthorized_transaction,customer_dispute,2026-03-12 08:49:06,False,True,False,True,False,True
DIS0000002,ORD0000372,A000180,2026-02-09 21:49:53,retrieval,item_not_received,customer_dispute,2026-02-16 21:49:53,True,True,True,True,True,True
DIS0000003,ORD0001435,A000713,2026-02-18 08:40:48,retrieval,item_not_received,customer_dispute,2026-02-25 08:40:48,True,True,True,False,True,True
DIS0000004,ORD0001687,A000828,2026-01-24 15:47:44,pre_arbitration,item_not_received,customer_dispute,2026-01-31 15:47:44,True,True,True,True,True,True
DIS0000005,ORD0002122,A001041,2026-02-04 10:06:21,retrieval,item_not_received,customer_dispute,2026-02-11 10:06:21,True,False,True,False,True,True
DIS0000006,ORD0002488,A001232,2026-02-21 03:43:15,pre_arbitration,item_not_received,customer_dispute,2026-02-28 03:43:15,True,True,False,False,True,True
DIS0000007,ORD0002510,A001242,2026-02-24 15:22:04,retrieval,item_not_received,customer_dispute,2026-03-03 15:22:04,True,True,True,False,True,True
DIS0000008,ORD0002769,A001372,2026-02-28 12:57:20,pre_arbitration,unauthorized_transaction,customer_dispute,2026-03-07 12:57:20,True,False,False,True,True,True
DIS0000009,ORD0002798,A001383,2026-02-13 11:46:23,retrieval,duplicate_charge,customer_dispute,2026-02-20 11:46:23,True,False,True,False,True,True
DIS0000010,ORD0003275,A001621,2026-02-04 08:08:20,retrieval,unauthorized_transaction,customer_dispute,2026-02-11 08:08:20,True,False,True,False,True,True
DIS0000011,ORD0003449,A001702,2026-02-25 23:07:58,pre_arbitration,unauthorized_transaction,customer_dispute,2026-03-04 23:07:58,False,True,False,False,True,False
DIS0000012,ORD0003511,A001740,2026-01-31 08:26:26,retrieval,item_not_received,customer_dispute,2026-02-07 08:26:26,True,True,True,False,False,False
DIS0000013,ORD0003559,A001763,2026-03-05 14:29:35,pre_arbitration,duplicate_charge,customer_dispute,2026-03-12 14:29:35,True,True,True,True,True,True
DIS0000014,ORD0003951,A001964,2026-02-16 11:05:47,retrieval,unauthorized_transaction,customer_dispute,2026-02-23 11:05:47,True,True,True,True,True,False
DIS0000015,ORD0004175,A002070,2026-01-27 05:04:22,pre_arbitration,unauthorized_transaction,customer_dispute,2026-02-03 05:04:22,False,False,True,False,False,True
DIS0000016,ORD0004271,A002110,2026-02-23 13:37:35,retrieval,duplicate_charge,customer_dispute,2026-03-02 13:37:35,False,False,True,True,True,True
DIS0000017,ORD0004327,A002146,2026-01-30 13:59:33,pre_arbitration,unauthorized_transaction,customer_dispute,2026-02-06 13:59:33,True,False,False,True,True,True
DIS0000018,ORD0004538,A002259,2026-03-02 12:31:43,retrieval,item_not_received,customer_dispute,2026-03-09 12:31:43,True,True,True,False,True,True
DIS0000019,ORD0005107,A002547,2026-03-05 16:32:02,pre_arbitration,duplicate_charge,customer_dispute,2026-03-12 16:32:02,True,True,True,True,True,True
