account_id_1,account_id_2,edge_type,weight
A000000,A001697,shares_phone,1.0
A000000,A002763,shares_address,0.7
A000000,A002989,shares_address,0.7
A000000,A004877,shares_address,0.7
A000000,A006207,shares_device,1.0
A000000,A007601,shares_address,0.7
A000000,A008251,shares_device,1.0
A000000,A008345,shares_address,0.7
A000000,A008383,shares_address,0.7
A000000,A008477,shares_address,0.7
A000000,A008592,shares_device,1.0
A000000,A009498,shares_device,1.0
A000000,A009676,shares_address,0.7
A000000,A009968,shares_address,0.7
A000000,A011227,shares_device,1.0
A000000,A011696,shares_device,1.0
A000000,A012663,shares_address,0.7
A000000,A013492,shares_address,0.7
A000000,A014337,shares_address,0.7
A000000,A014411,shares_phone,1.0
A000000,A014700,shares_address,0.7
A000000,A015645,shares_address,0.7
A000000,A016825,shares_address,0.7
A000000,A017456,shares_phone,1.0
A000000,A018164,shares_address,0.7
A000000,A019298,shares_phone,1.0
A000000,A020563,shares_address,0.7
A000000,A021363,shares_payment_instrument,1.0
A000000,A022329,shares_device,1.0
A000000,A022939,shares_address,0.7
A000000,A023896,shares_address,0.7
A000001,A001151,shares_device,1.0
A000001,A008394,shares_address,0.7
A000001,A016456,shares_phone,1.0
A000001,A021514,shares_address,0.7
A000003,A001511,shares_address,0.7
A000003,A001557,shares_device,1.0
A000003,A010035,shares_address,0.7
A000003,A010111,shares_address,0.7
A000003,A012622,shares_address,0.7
A000003,A013581,shares_address,0.7
A000003,A014038,shares_address,0.7
A000003,A014207,shares_address,0.7
A000003,A014621,shares_device,1.0
A000003,A015218,shares_payment_instrument,1.0
A000003,A019613,shares_address,0.7
A000003,A020692,shares_address,0.7
A000003,A022603,shares_address,0.7
A000003,A023863,shares_address,0.7
A000004,A000715,shares_device,1.0
A000004,A001475,shares_device,1.0
A000004,A004172,shares_device,1.0
A000004,A005402,shares_payment_instrument,1.0
A000004,A006672,shares_device,1.0
A000004,A007712,shares_address,0.7
A000004,A008284,shares_payment_instrument,1.0
A000004,A008538,shares_address,0.7
A000004,A013663,shares_device,1.0
A000005,A000898,shares_address,0.7
A000005,A007110,shares_address,0.7
A000005,A008071,shares_phone,1.0
A000005,A010949,shares_address,0.7
A000005,A012240,shares_address,0.7
A000005,A012856,shares_address,0.7
A000005,A013402,shares_payment_instrument,1.0
A000005,A017994,shares_device,1.0
A000005,A019515,shares_payment_instrument,1.0
A000005,A020991,shares_address,0.7
A000005,A023793,shares_phone,1.0
A000006,A000411,shares_device,1.0
A000006,A002783,shares_address,0.7
A000006,A007138,shares_phone,1.0
A000006,A007148,shares_address,0.7
A000006,A008293,shares_payment_instrument,1.0
A000006,A011885,shares_address,0.7
A000008,A000743,shares_device,1.0
A000008,A008396,shares_phone,1.0
A000008,A019136,shares_device,1.0
A000008,A022404,shares_address,0.7
A000011,A001375,shares_address,0.7
A000011,A002148,shares_device,1.0
A000011,A002359,shares_address,0.7
A000011,A004538,shares_payment_instrument,1.0
A000011,A005102,shares_address,0.7
A000011,A005327,shares_phone,1.0
A000011,A005722,shares_phone,1.0
A000011,A007824,shares_address,0.7
A000011,A008133,shares_device,1.0
A000011,A010385,shares_address,0.7
A000011,A011552,shares_address,0.7
A000011,A013717,shares_device,1.0
A000011,A014475,shares_phone,1.0
A000011,A014518,shares_address,0.7
A000011,A015004,shares_address,0.7
A000011,A015367,shares_address,0.7
A000011,A017462,shares_device,1.0
A000011,A018134,shares_address,0.7
A000012,A003944,shares_payment_instrument,1.0
A000012,A010045,shares_device,1.0
A000012,A014451,shares_address,0.7
A000013,A001491,shares_address,0.7
A000013,A003108,shares_phone,1.0
A000013,A005034,shares_payment_instrument,1.0
A000013,A011014,shares_payment_instrument,1.0
A000013,A015047,shares_payment_instrument,1.0
A000013,A020632,shares_address,0.7
A000013,A022373,shares_phone,1.0
A000015,A002044,shares_phone,1.0
A000015,A003357,shares_address,0.7
A000015,A010696,shares_address,0.7
A000015,A011525,shares_address,0.7
