account_id,community_id
A000000,14
A000001,34
A000002,233
A000003,0
A000004,2
A000005,1
A000006,2
A000007,234
A000008,20
A000009,235
A000010,236
A000011,13
A000012,15
A000013,23
A000014,237
A000015,33
A000016,238
A000017,3
A000018,2
A000019,30
A000020,0
A000021,30
A000022,239
A000023,26
A000024,17
A000025,5
A000026,240
A000027,10
A000028,23
A000029,22
A000030,0
A000031,241
A000032,25
A000033,0
A000034,0
A000035,9
A000036,4
A000037,26
A000038,242
A000039,243
A000040,1
A000041,7
A000042,1
A000043,32
A000044,0
A000045,244
A000046,29
A000047,245
A000048,1
A000049,2
A000050,6
A000051,21
A000052,3
A000053,6
A000054,30
A000055,8
A000056,9
A000057,9
A000058,24
A000059,9
A000060,1
A000061,0
A000062,0
A000063,28
A000064,246
A000065,28
A000066,247
A000067,0
A000068,248
A000069,11
A000070,249
A000071,0
A000072,19
A000073,0
A000074,250
A000075,0
A000076,10
A000077,251
A000078,3
A000079,9
A000080,19
A000081,8
A000082,252
A000083,22
A000084,14
A000085,31
A000086,13
A000087,8
A000088,0
A000089,0
A000090,253
A000091,254
A000092,2
A000093,13
A000094,1
A000095,21
A000096,255
A000097,21
A000098,24
A000099,24
A000100,3
A000101,29
A000102,24
A000103,256
A000104,257
A000105,10
A000106,20
A000107,258
A000108,4
A000109,27
A000110,3
A000111,259
A000112,3
A000113,260
A000114,14
A000115,261
A000116,262
A000117,18
A000118,8
A000119,0
A000120,20
A000121,4
A000122,31
A000123,11
A000124,263
A000125,0
A000126,5
A000127,4
A000128,32
A000129,5
A000130,3
A000131,17
A000132,18
A000133,0
A000134,12
A000135,1
A000136,13
A000137,1
A000138,264
A000139,11
A000140,265
A000141,266
A000142,0
A000143,17
A000144,267
A000145,0
A000146,0
A000147,4
A000148,23
A000149,0
A000150,6
A000151,23
A000152,38
A000153,268
A000154,7
A000155,269
A000156,270
A000157,4
A000158,8
A000159,0
A000160,8
A000161,13
A000162,12
A000163,271
A000164,17
A000165,272
A000166,5
A000167,23
A000168,18
