account_id,total_orders,total_amount,avg_order_value,distinct_devices,distinct_addresses,distinct_phones,distinct_payment_instruments,total_delivered_orders,total_failed_orders,total_pending_orders,coupon_usage_rate,discount_dependency_score,total_returns,avg_return_lag_hours,total_refunds,total_refund_amount,total_disputes,return_rate,refund_rate,dispute_rate,account_age_days,orders_last_24h,orders_last_7d,orders_last_30d,refunds_last_24h,refunds_last_7d,refunds_last_30d,return_rate_last_30d,transaction_burst_score,refund_burst_score,account_creation_burst_score,accounts_per_device,shared_device_count,accounts_per_address,shared_address_count,accounts_per_phone,shared_phone_count,accounts_per_instrument,shared_instrument_count,shared_ip_prefix_count
A000000,2.0,19250.0,9625.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.41172453703704,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,61,8.0,7.0,10.5,19.0,5.0,4.0,2.0,1.0,2.0
A000001,2.0,6820.0,3410.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.04437437810945273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.555266203703702,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,69,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0
A000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.50758101851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000003,4.0,29840.0,7460.0,2.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.776319444444443,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,74,2.0,2.0,12.0,11.0,1.0,0.0,2.0,1.0,0.0
A000004,1.0,1110.0,1110.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.66318287037037,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67,6.0,5.0,3.0,2.0,1.0,0.0,3.0,2.0,1.0
A000005,1.0,13700.0,13700.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.926944444444445,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77,2.0,1.0,7.0,6.0,3.0,2.0,3.0,2.0,0.0
A000006,2.0,3020.0,1510.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.647291666666668,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,69,2.0,1.0,2.5,3.0,2.0,1.0,1.5,1.0,0.0
A000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.93880787037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000008,1.0,1690.0,1690.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.334537037037038,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76,3.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0
A000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.32790509259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
