account_id,total_orders,total_amount,avg_order_value,distinct_devices,distinct_addresses,distinct_phones,distinct_payment_instruments,total_delivered_orders,total_failed_orders,total_pending_orders,coupon_usage_rate,discount_dependency_score,total_returns,avg_return_lag_hours,total_refunds,total_refund_amount,total_disputes,return_rate,refund_rate,dispute_rate,account_age_days,orders_last_24h,orders_last_7d,orders_last_30d,refunds_last_24h,refunds_last_7d,refunds_last_30d,return_rate_last_30d,transaction_burst_score,refund_burst_score,account_creation_burst_score,accounts_per_device,shared_device_count,accounts_per_address,shared_address_count,accounts_per_phone,shared_phone_count,accounts_per_instrument,shared_instrument_count,shared_ip_prefix_count,degree_centrality,eigenvector_centrality,triangle_count,clustering_coefficient,connected_component_size,shared_edge_count,shared_edge_weight_sum,community_id,community_size,community_return_rate,community_refund_rate,community_avg_order_value,community_total_orders
A000000,2.0,19250.0,9625.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.41172453703704,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,61,8.0,7.0,10.5,19.0,5.0,4.0,2.0,1.0,2.0,0.0010333677789259642,1.4218781027071462e-10,120,0.19806451612903228,17361,31,25.3,14,398,0.03536033341309723,0.029288306612427217,3941.686099146526,884.0
A000001,2.0,6820.0,3410.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0443743781094527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.555266203703702,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,69,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.00013333777792593087,9.996804004426847e-13,0,0.0,17361,4,3.4,34,217,0.04086021505376344,0.03552775949089313,3822.185319289006,466.0
A000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.50758101851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.873438668234273e-69,0,0.0,1,0,0.0,233,1,0.0,0.0,0.0,0.0
A000003,4.0,29840.0,7460.0,2.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.776319444444443,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,74,2.0,2.0,12.0,11.0,1.0,0.0,2.0,1.0,0.0,0.000466682222740758,8.603138590402797e-11,56,0.4340659340659341,17361,14,10.7,0,1765,0.03560164575745312,0.03034466477809254,3872.9512545528128,3905.0
A000004,1.0,1110.0,1110.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.66318287037037,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67,6.0,5.0,3.0,2.0,1.0,0.0,3.0,2.0,1.0,0.00030001000033334443,1.2488362896670047e-11,12,0.32499999999999996,17361,9,8.4,2,819,0.032916157916157915,0.03005455743550982,3749.102888733841,1816.0
A000005,1.0,13700.0,13700.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.926944444444445,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77,2.0,1.0,7.0,6.0,3.0,2.0,3.0,2.0,0.0,0.0003666788892963099,4.0927493297009986e-11,17,0.22727272727272727,17361,11,9.2,1,1553,0.028337626100021465,0.02554809431821666,3982.1822151698198,3503.0
A000006,2.0,3020.0,1510.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.647291666666668,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,69,2.0,1.0,2.5,3.0,2.0,1.0,1.5,1.0,0.0,0.0002000066668888963,2.8433803364315332e-12,3,0.13999999999999999,17361,6,5.1,2,819,0.032916157916157915,0.03005455743550982,3749.102888733841,1816.0
A000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.93880787037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.873438668234273e-69,0,0.0,1,0,0.0,234,1,0.0,0.0,0.0,0.0
A000008,1.0,1690.0,1690.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.33453703703704,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76,3.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.00013333777792593087,6.702595415587386e-12,1,0.16666666666666666,17361,4,3.7,20,374,0.034180035650623886,0.03269034886681946,3751.8808356676004,802.0
A000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.32790509259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.873438668234273e-69,0,0.0,1,0,0.0,235,1,0.0,0.0,0.0,0.0
A000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.93667824074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.873438668234273e-69,0,0.0,1,0,0.0,236,1,0.0,0.0,0.0,0.0
A000011,4.0,10350.0,2587.5,2.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0250181388012618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.41008101851852,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,58,3.0,4.0,6.0,10.0,4.0,3.0,2.0,1.0,0.0,0.0006000200006666889,4.5812007401406475e-11,29,0.1503267973856209,17361,18,15.0,13,452,0.040597345132743365,0.033849557522123895,3871.152707543194,999.0
A000012,1.0,1080.0,1080.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.1304351851851851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.109548611111112,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,68,2.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.00010000333344444814,2.83277119315068e-12,0,0.0,17361,3,2.7,15,398,0.03747906197654941,0.033040201005025124,3927.6249302065885,882.0
A000013,2.0,19760.0,9880.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0476953124999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.998692129629628,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,973,1.0,0.0,2.0,2.0,3.0,2.0,4.0,3.0,0.0,0.000233341111370379,1.1123884231992045e-11,4,0.19047619047619047,17361,7,6.4,23,356,0.027351970750847155,0.024769261637239165,3826.0637707330125,852.0
A000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.68482638888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.873438668234273e-69,0,0.0,1,0,0.0,237,1,0.0,0.0,0.0,0.0
A000015,3.0,3250.0,1083.3333333333333,1.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0493157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.71875,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,81,2.0,1.0,6.0,10.0,3.0,2.0,2.0,2.0,0.0,0.0005000166672222407,2.464749862037456e-11,22,0.1495238095238095,17361,15,12.0,33,242,0.023799685163321527,0.020282369146005508,3789.3471074380163,512.0
A000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.34034722222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.873438668234273e-69,0,0.0,1,0,0.0,238,1,0.0,0.0,0.0,0.0
