feature,importance
total_amount,1096
account_age_days,909
avg_order_value,859
discount_dependency_score,665
total_refund_amount,657
account_creation_burst_score,544
shared_ip_prefix_count,308
total_disputes,246
total_delivered_orders,242
dispute_rate,236
total_returns,211
coupon_usage_rate,202
accounts_per_address,198
accounts_per_device,195
orders_last_30d,188
shared_address_count,169
return_rate_last_30d,140
accounts_per_instrument,130
refund_rate,117
total_orders,114
orders_last_7d,105
return_rate,102
distinct_addresses,99
distinct_payment_instruments,91
accounts_per_phone,88
distinct_devices,82
avg_return_lag_hours,79
total_refunds,70
shared_device_count,48
refunds_last_30d,39
shared_instrument_count,35
refunds_last_7d,33
total_pending_orders,25
shared_phone_count,23
refunds_last_24h,4
distinct_phones,1
orders_last_24h,0
total_failed_orders,0
transaction_burst_score,0
refund_burst_score,0
