feature,importance
account_age_days,639
avg_order_value,502
community_return_rate,502
account_creation_burst_score,492
community_size,482
community_avg_order_value,481
total_amount,462
discount_dependency_score,443
eigenvector_centrality,351
clustering_coefficient,314
total_delivered_orders,258
degree_centrality,239
shared_address_count,207
total_returns,205
orders_last_7d,205
connected_component_size,183
community_total_orders,168
total_refund_amount,163
shared_edge_weight_sum,157
orders_last_30d,156
distinct_payment_instruments,149
accounts_per_address,143
total_orders,140
triangle_count,135
accounts_per_instrument,129
community_refund_rate,117
return_rate,110
total_disputes,103
shared_ip_prefix_count,59
dispute_rate,52
avg_return_lag_hours,50
distinct_devices,41
accounts_per_device,40
total_refunds,37
shared_instrument_count,31
coupon_usage_rate,28
refund_rate,20
shared_edge_count,15
return_rate_last_30d,8
shared_device_count,8
accounts_per_phone,7
refunds_last_7d,7
distinct_addresses,6
refunds_last_30d,5
shared_phone_count,2
total_pending_orders,0
total_failed_orders,0
distinct_phones,0
refund_burst_score,0
transaction_burst_score,0
orders_last_24h,0
refunds_last_24h,0
