refund_id,order_id,account_id,refund_timestamp,refund_amount,refund_reason,refund_status,refund_method
REF0000000,ORD0000051,A000025,2026-02-02 21:53:09,1800.0,size_fit,processed,original_payment
REF0000001,ORD0000068,A000033,2026-03-03 15:04:33,3150.0,size_fit,processed,wallet
REF0000002,ORD0000084,A000042,2026-03-05 11:37:02,12260.0,changed_mind,processed,wallet
REF0000003,ORD0000135,A000063,2026-02-04 00:28:39,3870.0,changed_mind,processed,wallet
REF0000004,ORD0000149,A000072,2026-02-07 03:25:18,4430.0,changed_mind,processed,bank_transfer
REF0000005,ORD0000163,A000080,2026-02-24 00:07:31,2390.0,changed_mind,processed,bank_transfer
REF0000006,ORD0000204,A000097,2026-02-17 03:38:54,2960.0,changed_mind,processed,original_payment
REF0000007,ORD0000226,A000108,2026-02-08 20:24:56,1630.0,not_as_described,processed,wallet
REF0000008,ORD0000238,A000113,2026-02-28 04:18:43,1620.0,changed_mind,processed,wallet
REF0000009,ORD0000269,A000131,2026-02-23 15:34:24,3550.0,changed_mind,processed,original_payment
REF0000010,ORD0000394,A000193,2026-02-24 23:55:01,2200.0,not_as_described,processed,bank_transfer
REF0000011,ORD0000414,A000203,2026-02-11 18:02:20,2390.0,size_fit,processed,original_payment
REF0000012,ORD0000421,A000206,2026-02-01 04:27:45,2860.0,not_as_described,processed,bank_transfer
REF0000013,ORD0000484,A000237,2026-02-16 01:27:32,3520.0,not_as_described,processed,bank_transfer
REF0000014,ORD0000518,A000256,2026-01-22 01:34:23,3220.0,not_as_described,processed,wallet
REF0000015,ORD0000589,A000293,2026-03-02 02:55:36,2690.0,changed_mind,processed,original_payment
REF0000016,ORD0000594,A000294,2026-02-09 19:38:34,2230.0,not_as_described,processed,bank_transfer
REF0000017,ORD0000632,A000310,2026-02-12 13:34:50,1680.0,not_as_described,processed,wallet
REF0000018,ORD0000646,A000322,2026-02-08 01:50:56,5210.0,changed_mind,processed,wallet
REF0000019,ORD0000649,A000327,2026-02-26 21:22:45,1740.0,size_fit,processed,wallet
REF0000020,ORD0000682,A000346,2026-01-22 07:35:26,1600.0,size_fit,processed,original_payment
REF0000021,ORD0000722,A000361,2026-03-04 17:54:42,4810.0,size_fit,processed,wallet
REF0000022,ORD0000740,A000371,2026-02-17 23:17:14,2740.0,changed_mind,processed,wallet
REF0000023,ORD0000743,A000371,2026-02-19 00:22:40,2300.0,not_as_described,processed,bank_transfer
