account_id,population_type
A000000,normal
A000001,normal
A000002,normal
A000003,normal
A000004,normal
A000005,normal
A000006,normal
A000007,hard_negative
A000008,normal
A000009,normal
A000010,normal
A000011,normal
A000012,normal
A000013,hard_negative
A000014,hard_negative
A000015,normal
A000016,normal
A000017,normal
A000018,normal
A000019,normal
A000020,normal
A000021,normal
A000022,hard_negative
A000023,normal
A000024,hard_negative
A000025,normal
A000026,normal
A000027,normal
A000028,hard_negative
A000029,normal
A000030,hard_negative
A000031,ring
A000032,normal
A000033,hard_negative
A000034,normal
A000035,normal
A000036,normal
A000037,hard_negative
A000038,normal
A000039,normal
A000040,normal
A000041,hard_negative
A000042,normal
A000043,normal
A000044,ring
A000045,normal
A000046,normal
A000047,normal
A000048,normal
A000049,normal
A000050,normal
A000051,normal
A000052,normal
A000053,normal
A000054,normal
A000055,hard_negative
A000056,normal
A000057,normal
A000058,hard_negative
A000059,normal
A000060,normal
A000061,normal
A000062,normal
A000063,normal
A000064,normal
A000065,normal
A000066,normal
A000067,normal
A000068,ring
A000069,hard_negative
A000070,normal
A000071,normal
A000072,normal
A000073,normal
A000074,normal
A000075,normal
A000076,normal
A000077,ring
A000078,ring
A000079,hard_negative
A000080,normal
A000081,normal
A000082,normal
A000083,normal
A000084,hard_negative
A000085,normal
A000086,normal
A000087,normal
A000088,normal
A000089,normal
A000090,normal
A000091,normal
A000092,normal
A000093,normal
A000094,normal
A000095,normal
A000096,normal
A000097,normal
A000098,normal
A000099,normal
A000100,normal
A000101,normal
A000102,normal
A000103,normal
A000104,normal
A000105,normal
A000106,normal
A000107,normal
A000108,normal
A000109,normal
A000110,normal
A000111,normal
A000112,normal
A000113,normal
A000114,normal
A000115,normal
A000116,normal
A000117,hard_negative
A000118,normal
A000119,normal
A000120,normal
A000121,normal
A000122,normal
A000123,hard_negative
A000124,normal
A000125,normal
A000126,normal
A000127,normal
A000128,normal
A000129,normal
A000130,hard_negative
A000131,hard_negative
A000132,hard_negative
A000133,normal
A000134,hard_negative
A000135,normal
A000136,hard_negative
A000137,normal
A000138,normal
A000139,normal
A000140,normal
A000141,hard_negative
A000142,normal
A000143,normal
A000144,hard_negative
A000145,normal
A000146,hard_negative
A000147,normal
A000148,normal
A000149,normal
A000150,normal
A000151,normal
A000152,normal
A000153,ring
A000154,hard_negative
A000155,normal
A000156,normal
A000157,normal
A000158,normal
A000159,hard_negative
A000160,normal
A000161,hard_negative
A000162,hard_negative
A000163,normal
A000164,normal
A000165,hard_negative
A000166,normal
A000167,normal
A000168,normal
A000169,normal
A000170,normal
A000171,normal
A000172,hard_negative
A000173,hard_negative
A000174,hard_negative
A000175,hard_negative
A000176,hard_negative
A000177,normal
A000178,normal
A000179,normal
A000180,normal
A000181,normal
A000182,ring
A000183,normal
A000184,hard_negative
A000185,hard_negative
A000186,normal
A000187,normal
A000188,normal
A000189,normal
A000190,normal
A000191,normal
A000192,normal
A000193,normal
A000194,normal
A000195,normal
A000196,normal
A000197,hard_negative
A000198,hard_negative
A000199,normal
A000200,normal
A000201,normal
A000202,normal
A000203,normal
A000204,normal
A000205,hard_negative
A000206,normal
A000207,normal
A000208,normal
A000209,hard_negative
A000210,normal
A000211,normal
A000212,normal
A000213,hard_negative
A000214,normal
A000215,normal
A000216,normal
A000217,normal
A000218,normal
A000219,normal
A000220,normal
A000221,normal
A000222,normal
A000223,normal
A000224,normal
A000225,normal
A000226,hard_negative
A000227,normal
A000228,normal
A000229,normal
A000230,normal
A000231,normal
A000232,normal
A000233,normal
A000234,hard_negative
A000235,normal
A000236,normal
A000237,normal
A000238,normal
A000239,normal
A000240,normal
A000241,normal
A000242,normal
A000243,normal
A000244,normal
A000245,normal
A000246,normal
A000247,normal
A000248,normal
A000249,normal
A000250,normal
A000251,normal
A000252,hard_negative
A000253,normal
A000254,normal
A000255,hard_negative
A000256,hard_negative
A000257,normal
A000258,normal
A000259,normal
A000260,normal
A000261,normal
A000262,normal
A000263,hard_negative
A000264,normal
A000265,normal
A000266,normal
A000267,normal
A000268,normal
A000269,hard_negative
A000270,normal
A000271,normal
A000272,normal
A000273,normal
A000274,normal
A000275,normal
A000276,normal
A000277,normal
A000278,normal
A000279,normal
A000280,normal
A000281,hard_negative
A000282,normal
A000283,normal
A000284,normal
A000285,normal
A000286,normal
A000287,normal
A000288,normal
A000289,normal
A000290,normal
A000291,normal
A000292,normal
A000293,normal
A000294,normal
A000295,normal
A000296,normal
A000297,normal
A000298,normal
A000299,normal
A000300,normal
A000301,normal
A000302,normal
A000303,normal
A000304,hard_negative
A000305,normal
A000306,normal
A000307,normal
A000308,normal
A000309,normal
A000310,normal
A000311,normal
A000312,hard_negative
A000313,normal
A000314,hard_negative
A000315,normal
A000316,hard_negative
A000317,normal
A000318,normal
A000319,normal
A000320,normal
A000321,normal
A000322,normal
A000323,normal
A000324,normal
A000325,normal
A000326,normal
A000327,normal
A000328,normal
A000329,normal
A000330,normal
A000331,normal
A000332,normal
A000333,normal
A000334,normal
A000335,normal
A000336,normal
A000337,normal
A000338,normal
A000339,normal
A000340,normal
A000341,normal
A000342,normal
A000343,normal
A000344,normal
A000345,normal
A000346,normal
A000347,normal
A000348,normal
A000349,hard_negative
A000350,normal
A000351,normal
A000352,normal
A000353,normal
A000354,normal
A000355,normal
A000356,normal
A000357,normal
A000358,normal
A000359,normal
A000360,normal
A000361,normal
A000362,normal
A000363,hard_negative
A000364,normal
A000365,normal
A000366,normal
A000367,hard_negative
A000368,normal
A000369,hard_negative
A000370,hard_negative
A000371,normal
A000372,normal
A000373,normal
A000374,normal
A000375,normal
A000376,normal
A000377,normal
A000378,normal
A000379,normal
A000380,normal
A000381,hard_negative
A000382,normal
A000383,normal
A000384,normal
A000385,normal
A000386,normal
A000387,normal
A000388,ring
A000389,normal
A000390,normal
A000391,normal
A000392,normal
A000393,normal
A000394,hard_negative
A000395,normal
A000396,normal
A000397,ring
A000398,normal
A000399,ring
A000400,normal
A000401,normal
A000402,normal
A000403,normal
A000404,ring
A000405,normal
A000406,normal
A000407,normal
A000408,hard_negative
A000409,normal
A000410,normal
A000411,normal
A000412,normal
A000413,normal
A000414,normal
A000415,ring
A000416,ring
A000417,normal
A000418,normal
A000419,normal
A000420,normal
A000421,normal
A000422,normal
A000423,normal
A000424,normal
A000425,hard_negative
A000426,normal
A000427,normal
A000428,normal
A000429,normal
A000430,normal
A000431,hard_negative
A000432,hard_negative
A000433,normal
A000434,hard_negative
A000435,normal
A000436,normal
A000437,hard_negative
A000438,normal
A000439,normal
A000440,normal
A000441,ring
A000442,normal
A000443,normal
A000444,hard_negative
A000445,normal
A000446,normal
A000447,ring
A000448,hard_negative
A000449,normal
A000450,normal
A000451,normal
A000452,normal
A000453,normal
A000454,normal
A000455,normal
A000456,normal
A000457,ring
A000458,normal
A000459,normal
A000460,normal
A000461,normal
A000462,normal
A000463,normal
A000464,normal
A000465,normal
A000466,normal
A000467,normal
A000468,normal
A000469,normal
A000470,normal
A000471,normal
A000472,hard_negative
A000473,normal
A000474,normal
A000475,normal
A000476,normal
A000477,hard_negative
A000478,normal
A000479,normal
A000480,normal
A000481,normal
A000482,normal
A000483,hard_negative
A000484,normal
A000485,normal
A000486,hard_negative
A000487,normal
A000488,normal
A000489,hard_negative
A000490,normal
A000491,hard_negative
A000492,ring
A000493,ring
A000494,normal
A000495,normal
A000496,normal
A000497,normal
A000498,normal
A000499,hard_negative
A000500,normal
A000501,normal
A000502,normal
A000503,hard_negative
A000504,normal
A000505,ring
A000506,normal
A000507,normal
A000508,hard_negative
