device_id,os_family,browser_family,ip_prefix,first_seen_at
D000000,Android,Chrome,10.212.167.0/24,2026-01-16 23:00:00
D000001,Android,Chrome,10.42.241.0/24,2026-01-12 10:00:00
D000002,Windows,Edge,10.95.161.0/24,2026-01-24 19:00:00
D000003,iOS,Chrome,10.217.137.0/24,2026-01-23 15:00:00
D000004,Android,Chrome,10.81.176.0/24,2026-01-03 13:00:00
D000005,Android,Chrome,10.158.69.0/24,2026-01-19 11:00:00
D000006,Windows,Firefox,10.210.77.0/24,2026-01-29 18:00:00
D000007,Android,Chrome,10.200.93.0/24,2026-02-13 19:00:00
D000008,Android,Edge,10.91.37.0/24,2026-01-12 16:00:00
D000009,Android,Edge,10.61.162.0/24,2026-02-02 06:00:00
D000010,Android,Chrome,10.127.43.0/24,2026-01-21 04:00:00
D000011,iOS,Chrome,10.147.218.0/24,2026-02-07 02:00:00
D000012,Android,Chrome,10.67.186.0/24,2026-02-05 06:00:00
D000013,Windows,Chrome,10.63.50.0/24,2026-02-14 13:00:00
D000014,Android,Chrome,10.123.22.0/24,2026-01-29 01:00:00
D000015,Windows,Firefox,10.201.241.0/24,2026-01-26 16:00:00
D000016,iOS,Safari,10.167.175.0/24,2026-02-07 21:00:00
D000017,Android,Chrome,10.219.76.0/24,2026-02-10 09:00:00
D000018,Android,Firefox,10.78.233.0/24,2026-01-19 14:00:00
D000019,Android,Firefox,10.145.47.0/24,2026-02-14 02:00:00
D000020,Android,Firefox,10.93.239.0/24,2026-01-06 14:00:00
D000021,Windows,Chrome,10.79.29.0/24,2026-01-24 05:00:00
D000022,iOS,Chrome,10.248.126.0/24,2026-01-24 11:00:00
D000023,macOS,Safari,10.183.28.0/24,2026-01-19 14:00:00
D000024,Windows,Firefox,10.85.45.0/24,2026-01-13 11:00:00
D000025,Windows,Firefox,10.144.124.0/24,2026-02-08 09:00:00
D000026,Android,Chrome,10.192.129.0/24,2026-01-15 10:00:00
D000027,Android,Firefox,10.6.129.0/24,2026-02-03 03:00:00
D000028,Android,Chrome,10.117.170.0/24,2026-02-09 15:00:00
D000029,iOS,Chrome,10.91.62.0/24,2026-02-08 00:00:00
D000030,Android,Firefox,10.67.133.0/24,2026-01-16 11:00:00
D000031,Android,Chrome,10.22.119.0/24,2026-01-23 20:00:00
D000032,iOS,Safari,10.126.168.0/24,2026-01-20 10:00:00
D000033,Android,Edge,10.52.78.0/24,2026-01-14 23:00:00
D000034,iOS,Chrome,10.221.81.0/24,2026-02-02 04:00:00
D000035,iOS,Chrome,10.196.9.0/24,2026-01-11 00:00:00
D000036,Android,Edge,10.100.122.0/24,2026-01-10 06:00:00
D000037,Windows,Firefox,10.245.57.0/24,2026-01-02 14:00:00
D000038,macOS,Chrome,10.10.176.0/24,2026-01-19 03:00:00
D000039,Windows,Edge,10.23.76.0/24,2026-01-23 12:00:00
D000040,iOS,Safari,10.39.156.0/24,2026-01-04 23:00:00
D000041,Android,Firefox,10.189.252.0/24,2026-01-31 00:00:00
D000042,Android,Edge,10.167.219.0/24,2026-02-11 12:00:00
D000043,Android,Firefox,10.42.146.0/24,2026-02-13 20:00:00
D000044,Windows,Firefox,10.173.100.0/24,2026-01-05 20:00:00
D000045,Android,Firefox,10.63.215.0/24,2026-01-16 14:00:00
D000046,macOS,Chrome,10.11.252.0/24,2026-02-04 11:00:00
D000047,iOS,Chrome,10.243.82.0/24,2026-01-09 08:00:00
D000048,macOS,Safari,10.8.216.0/24,2026-01-03 13:00:00
D000049,iOS,Chrome,10.51.212.0/24,2026-02-04 08:00:00
D000050,iOS,Chrome,10.240.210.0/24,2026-02-07 17:00:00
D000051,macOS,Firefox,10.73.226.0/24,2026-02-02 21:00:00
D000052,Android,Edge,10.115.154.0/24,2026-01-20 07:00:00
D000053,Windows,Edge,10.225.240.0/24,2026-01-02 00:00:00
D000054,iOS,Safari,10.198.194.0/24,2026-02-03 00:00:00
D000055,iOS,Chrome,10.163.251.0/24,2026-01-31 13:00:00
