dispute_id,order_id,account_id,dispute_created_at,dispute_phase,dispute_reason_code,dispute_reason_category,respond_by,proof_of_service,explanation_letter,refund_confirmation,access_activity_log,refund_cancellation_policy,terms_and_conditions
DIS0000000,ORD0000054,A000026,2026-02-15 20:07:01.791129734,retrieval,duplicate_charge,,2026-02-22 20:07:01.791129734,True,True,True,True,True,True
DIS0000001,ORD0000075,A000031,2026-01-21 11:19:55.487550346,retrieval,not_as_described,,2026-01-28 11:19:55.487550346,True,True,False,False,True,True
DIS0000002,ORD0000205,A000093,2026-01-22 20:06:56.975157919,pre_arbitration,not_as_described,,2026-01-29 20:06:56.975157919,False,True,True,True,True,True
DIS0000003,ORD0000395,A000180,2026-02-02 21:16:48.034762181,retrieval,not_as_described,,2026-02-09 21:16:48.034762181,True,True,True,False,True,False
DIS0000004,ORD0000534,A000245,2026-01-27 13:47:55.565173431,pre_arbitration,item_not_received,,2026-02-03 13:47:55.565173431,False,False,True,True,False,True
DIS0000005,ORD0000960,A000460,2026-02-02 01:53:22.937073965,pre_arbitration,item_not_received,,2026-02-09 01:53:22.937073965,False,False,True,False,False,False
DIS0000006,ORD0001047,A000503,2026-02-01 14:21:56.310680878,retrieval,item_not_received,,2026-02-08 14:21:56.310680878,True,False,False,True,True,False
DIS0000007,ORD0001186,A000571,2026-01-18 19:21:53.468100931,pre_arbitration,item_not_received,,2026-01-25 19:21:53.468100931,True,True,True,False,False,True
DIS0000008,ORD0001236,A000600,2026-02-05 05:49:33.544671327,pre_arbitration,not_as_described,,2026-02-12 05:49:33.544671327,True,True,True,True,False,True
DIS0000009,ORD0001298,A000631,2026-02-20 16:37:00.038667467,retrieval,not_as_described,,2026-02-27 16:37:00.038667467,True,True,True,True,False,False
DIS0000010,ORD0001321,A000638,2026-02-08 17:06:04.431008686,pre_arbitration,item_not_received,,2026-02-15 17:06:04.431008686,True,True,False,False,True,True
DIS0000011,ORD0001566,A000770,2026-02-05 06:31:23.274773687,pre_arbitration,unauthorized_transaction,,2026-02-12 06:31:23.274773687,True,False,False,False,True,True
DIS0000012,ORD0001793,A000913,2026-01-27 19:14:50.114895842,retrieval,not_as_described,,2026-02-03 19:14:50.114895842,True,False,False,False,True,False
DIS0000013,ORD0001807,A000916,2026-01-23 05:53:31.059796805,retrieval,item_not_received,,2026-01-30 05:53:31.059796805,False,False,False,False,True,True
DIS0000014,ORD0002126,A001087,2026-01-21 06:21:55.723315985,retrieval,duplicate_charge,,2026-01-28 06:21:55.723315985,True,False,True,True,True,False
DIS0000015,ORD0002176,A001111,2026-02-17 09:42:38.466364650,pre_arbitration,not_as_described,,2026-02-24 09:42:38.466364650,False,False,True,True,True,True
DIS0000016,ORD0002199,A001122,2026-02-08 03:23:32.774096516,pre_arbitration,duplicate_charge,,2026-02-15 03:23:32.774096516,True,True,False,False,True,True
DIS0000017,ORD0002265,A001161,2026-02-12 02:22:41.657174015,pre_arbitration,item_not_received,,2026-02-19 02:22:41.657174015,True,True,False,False,True,True
DIS0000018,ORD0002289,A001172,2026-02-09 23:46:25.171791855,retrieval,item_not_received,,2026-02-16 23:46:25.171791855,True,True,False,False,False,True
DIS0000019,ORD0002754,A001429,2026-01-22 15:24:48.863585411,retrieval,item_not_received,,2026-01-29 15:24:48.863585411,True,False,True,True,True,False
DIS0000020,ORD0002825,A001479,2026-02-24 22:29:39.026461874,retrieval,item_not_received,,2026-03-01 00:00:00.000000000,True,False,True,False,True,True
DIS0000021,ORD0002863,A001502,2026-02-03 22:17:35.780150430,retrieval,not_as_described,,2026-02-10 22:17:35.780150430,True,True,True,True,True,True
DIS0000022,ORD0002913,A001529,2026-01-09 11:27:45.804446955,retrieval,item_not_received,,2026-01-16 11:27:45.804446955,False,True,True,True,True,False
DIS0000023,ORD0002929,A001539,2026-02-03 15:10:45.454160318,retrieval,item_not_received,,2026-02-10 15:10:45.454160318,True,True,True,False,False,False
DIS0000024,ORD0003086,A001616,2026-02-23 20:47:13.461016461,retrieval,item_not_received,,2026-03-01 00:00:00.000000000,True,True,True,False,True,True
DIS0000025,ORD0003130,A001636,2026-02-16 22:31:04.560189018,retrieval,item_not_received,,2026-02-23 22:31:04.560189018,True,True,True,True,True,True
DIS0000026,ORD0003180,A001661,2026-02-13 21:04:30.160783572,retrieval,item_not_received,,2026-02-20 21:04:30.160783572,True,False,False,False,True,True
DIS0000027,ORD0003181,A001662,2026-01-21 08:30:49.072120107,retrieval,item_not_received,,2026-01-28 08:30:49.072120107,True,False,True,True,True,True
DIS0000028,ORD0003671,A001919,2026-02-06 19:06:56.310328362,retrieval,item_not_received,,2026-02-13 19:06:56.310328362,False,False,False,False,False,True
DIS0000029,ORD0003754,A001965,2026-01-31 10:48:03.048500427,retrieval,not_as_described,,2026-02-07 10:48:03.048500427,True,False,False,True,True,True
DIS0000030,ORD0004034,A002131,2026-01-28 03:49:14.188634971,retrieval,duplicate_charge,,2026-02-04 03:49:14.188634971,True,False,True,True,True,True
DIS0000031,ORD0004061,A002142,2026-02-25 07:53:13.648553589,pre_arbitration,item_not_received,,2026-03-01 00:00:00.000000000,True,True,True,True,True,True
DIS0000032,ORD0004079,A002150,,,,customer_dispute,,True,True,True,False,False,True
DIS0000033,ORD0004149,A002186,2026-02-15 17:19:29.401196897,retrieval,unauthorized_transaction,,2026-02-22 17:19:29.401196897,False,True,True,False,True,True
DIS0000034,ORD0004167,A002197,2026-02-18 05:37:55.842755765,retrieval,not_as_described,,2026-02-25 05:37:55.842755765,True,False,True,True,True,True
DIS0000035,ORD0004183,A002206,2026-02-14 18:09:31.846397614,pre_arbitration,duplicate_charge,,2026-02-21 18:09:31.846397614,False,True,False,False,True,True
DIS0000036,ORD0004192,A002210,2026-02-07 06:04:29.411742943,retrieval,item_not_received,,2026-02-14 06:04:29.411742943,False,False,True,False,True,True
DIS0000037,ORD0004199,A002213,2026-02-04 01:07:58.251713595,retrieval,item_not_received,,2026-02-11 01:07:58.251713595,False,False,True,True,True,True
DIS0000038,ORD0004435,A002330,2026-01-31 16:31:28.954387256,retrieval,duplicate_charge,,2026-02-07 16:31:28.954387256,True,True,True,True,True,True
DIS0000039,ORD0004472,A002347,2026-01-29 21:52:34.625078895,retrieval,duplicate_charge,,2026-02-05 21:52:34.625078895,True,True,True,False,True,False
DIS0000040,ORD0004487,A002354,,,,customer_dispute,,True,False,False,True,True,False
DIS0000041,ORD0004627,A002431,2026-01-13 14:40:18.478244744,retrieval,item_not_received,,2026-01-20 14:40:18.478244744,False,True,True,False,False,True
DIS0000042,ORD0004825,A002535,2026-02-19 21:21:21.362310746,retrieval,item_not_received,,2026-02-26 21:21:21.362310746,False,True,True,True,False,True
DIS0000043,ORD0004870,A002561,2026-02-24 16:37:52.939491452,retrieval,not_as_described,,2026-03-01 00:00:00.000000000,True,False,False,False,True,True
DIS0000044,ORD0004959,A002618,2026-02-09 04:52:06.443356933,retrieval,item_not_received,,2026-02-16 04:52:06.443356933,True,True,True,True,True,False
DIS0000045,ORD0005192,A002735,2026-02-01 11:09:48.535700031,retrieval,unauthorized_transaction,,2026-02-08 11:09:48.535700031,True,False,False,False,True,False
DIS0000046,ORD0005211,A002746,2026-02-04 14:21:40.968896716,pre_arbitration,not_as_described,,2026-02-11 14:21:40.968896716,True,False,True,False,True,True
DIS0000047,ORD0005704,A003029,2026-02-03 21:46:25.920493901,retrieval,unauthorized_transaction,,2026-02-10 21:46:25.920493901,True,True,True,True,True,True
DIS0000048,ORD0006043,A003204,2026-02-20 12:43:00.239138493,retrieval,not_as_described,,2026-02-27 12:43:00.239138493,True,False,False,True,True,True
DIS0000049,ORD0006149,A003272,2026-01-13 05:46:37.365330162,retrieval,item_not_received,,2026-01-20 05:46:37.365330162,True,True,True,True,False,True
DIS0000050,ORD0006229,A003322,2026-01-20 05:22:59.158243608,pre_arbitration,item_not_received,,2026-01-27 05:22:59.158243608,False,True,True,True,True,True
DIS0000051,ORD0006257,A003341,2026-02-09 07:57:33.322369000,retrieval,item_not_received,,2026-02-16 07:57:33.322369000,True,True,True,False,True,False
DIS0000052,ORD0006320,A003379,2026-02-05 21:42:31.417867308,pre_arbitration,unauthorized_transaction,,2026-02-12 21:42:31.417867308,False,True,True,False,False,True
DIS0000053,ORD0006466,A003461,2026-02-08 07:36:28.043606583,pre_arbitration,not_as_described,,2026-02-15 07:36:28.043606583,False,False,True,True,True,True
DIS0000054,ORD0006511,A003486,2026-02-20 21:04:24.375406803,retrieval,unauthorized_transaction,,2026-02-27 21:04:24.375406803,True,True,True,True,True,True
DIS0000055,ORD0006547,A003504,2026-02-15 11:41:01.011357123,pre_arbitration,item_not_received,,2026-02-22 11:41:01.011357123,True,False,False,True,True,True
DIS0000056,ORD0006672,A003567,2026-02-17 06:36:46.555393497,retrieval,not_as_described,,2026-02-24 06:36:46.555393497,True,False,False,True,True,False
DIS0000057,ORD0006857,A003666,2026-01-28 09:43:25.601643027,retrieval,not_as_described,,2026-02-04 09:43:25.601643027,True,True,True,True,True,True
DIS0000058,ORD0006874,A003671,2026-02-05 16:05:18.887036921,retrieval,item_not_received,,2026-02-12 16:05:18.887036921,False,True,True,False,True,True
DIS0000059,ORD0006925,A003704,2026-01-22 00:37:31.033867067,pre_arbitration,not_as_described,,2026-01-29 00:37:31.033867067,False,True,False,True,True,False
DIS0000060,ORD0006974,A003726,2026-01-19 10:15:37.002831332,pre_arbitration,not_as_described,,2026-01-26 10:15:37.002831332,True,False,False,False,True,True
DIS0000061,ORD0007189,A003835,2026-01-27 21:00:33.331054699,retrieval,duplicate_charge,,2026-02-03 21:00:33.331054699,True,False,True,True,False,True
DIS0000062,ORD0007553,A004034,2026-02-17 03:54:35.564785594,retrieval,item_not_received,,2026-02-24 03:54:35.564785594,True,True,True,True,True,True
DIS0000063,ORD0007559,A004037,,,,customer_dispute,,False,False,True,True,False,True
DIS0000064,ORD0007585,A004048,,,,customer_dispute,,False,False,True,False,True,False
DIS0000065,ORD0007617,A004063,2026-01-27 15:46:56.746655904,retrieval,item_not_received,,2026-02-03 15:46:56.746655904,False,False,True,False,True,False
DIS0000066,ORD0007667,A004093,2026-02-06 01:57:12.132594802,pre_arbitration,not_as_described,,2026-02-13 01:57:12.132594802,True,True,False,True,True,True
DIS0000067,ORD0007742,A004140,2026-02-07 12:51:38.586872309,pre_arbitration,item_not_received,,2026-02-14 12:51:38.586872309,True,False,True,False,True,True
DIS0000068,ORD0007817,A004180,2026-02-21 19:23:55.528214572,retrieval,item_not_received,,2026-02-28 19:23:55.528214572,False,True,True,True,True,True
DIS0000069,ORD0007855,A004204,2026-02-11 13:11:53.055278175,pre_arbitration,not_as_described,,2026-02-18 13:11:53.055278175,True,False,True,False,True,True
DIS0000070,ORD0007956,A004262,2026-02-14 18:08:55.327685717,pre_arbitration,duplicate_charge,,2026-02-21 18:08:55.327685717,True,False,False,True,True,False
