account_id_1,account_id_2,edge_type,weight
A000000,A004296,shares_device,1.0
A000000,A019935,shares_address,0.7
A000001,A013239,shares_payment_instrument,1.0
A000001,A025967,shares_payment_instrument,1.0
A000003,A012279,shares_phone,1.0
A000003,A024703,shares_device,1.0
A000003,A029754,shares_phone,1.0
A000005,A000051,shares_payment_instrument,1.0
A000005,A008543,shares_phone,1.0
A000005,A019178,shares_device,1.0
A000005,A024005,shares_address,0.7
A000006,A001353,shares_device,1.0
A000006,A013320,shares_payment_instrument,1.0
A000006,A016006,shares_ip_prefix,0.3
A000006,A025081,shares_address,0.7
A000007,A019531,shares_phone,1.0
A000008,A006218,shares_address,0.7
A000010,A005830,shares_coupon,0.2
A000010,A007428,shares_device,1.0
A000010,A014561,shares_phone,1.0
A000010,A019254,shares_coupon,0.2
A000010,A020146,shares_coupon,0.2
A000010,A021667,shares_coupon,0.2
A000010,A022554,shares_coupon,0.2
A000010,A024144,shares_coupon,0.2
A000010,A024610,shares_device,1.0
A000010,A026348,shares_coupon,0.2
A000011,A008544,shares_address,0.7
A000012,A000197,shares_phone,1.0
A000012,A014501,shares_phone,1.0
A000012,A019465,shares_phone,1.0
A000013,A003715,shares_device,1.0
A000013,A003974,shares_address,0.7
A000013,A007899,shares_device,1.0
A000013,A010235,shares_device,1.0
A000013,A016513,shares_address,0.7
A000013,A020979,shares_phone,1.0
A000013,A024269,shares_address,0.7
A000013,A028871,shares_coupon,0.2
A000014,A011941,shares_device,1.0
A000014,A015092,shares_ip_prefix,0.3
A000014,A017735,shares_coupon,0.2
A000014,A018481,shares_payment_instrument,1.0
A000014,A022947,shares_address,0.7
A000014,A023621,shares_coupon,0.2
A000014,A027545,shares_coupon,0.2
A000015,A003050,shares_address,0.7
A000015,A008256,shares_phone,1.0
A000016,A001953,shares_phone,1.0
A000016,A011006,shares_device,1.0
A000016,A014720,shares_payment_instrument,1.0
A000016,A015457,shares_coupon,0.2
A000017,A015697,shares_phone,1.0
A000017,A016572,shares_address,0.7
A000017,A026099,shares_device,1.0
A000018,A000687,shares_payment_instrument,1.0
A000019,A002018,shares_address,0.7
A000019,A003953,shares_phone,1.0
