account_id,community_id
A000000,66
A000001,52
A000002,207
A000003,20
A000004,208
A000005,22
A000006,15
A000007,53
A000008,9
A000009,209
A000010,56
A000011,3
A000012,5
A000013,48
A000014,11
A000015,12
A000016,59
A000017,91
A000018,9
A000019,28
A000020,46
A000021,210
A000022,79
A000023,18
A000024,17
A000025,15
A000026,71
A000027,40
A000028,23
A000029,101
A000030,26
A000031,66
A000032,211
A000033,61
A000034,34
A000035,212
A000036,21
A000037,18
A000038,27
A000039,48
A000040,28
A000041,32
A000042,213
A000043,214
A000044,67
A000045,8
A000046,9
A000047,88
A000048,215
A000049,216
A000050,98
A000051,22
A000052,10
A000053,3
A000054,74
A000055,217
A000056,16
A000057,24
A000058,69
A000059,218
A000060,9
A000061,11
A000062,46
A000063,85
A000064,43
A000065,219
A000066,59
A000067,39
A000068,31
A000069,35
A000070,19
A000071,81
A000072,87
A000073,25
A000074,220
A000075,30
A000076,0
A000077,8
A000078,44
A000079,41
A000080,32
A000081,221
A000082,222
A000083,223
A000084,74
A000085,224
A000086,225
A000087,2
A000088,98
A000089,49
A000090,13
A000091,1
A000092,32
A000093,82
A000094,11
A000095,2
A000096,12
A000097,18
A000098,75
A000099,45
A000100,40
A000101,31
A000102,31
A000103,15
A000104,2
A000105,101
A000106,40
A000107,226
A000108,227
A000109,45
A000110,39
A000111,86
A000112,63
A000113,54
A000114,10
A000115,26
A000116,228
A000117,1
A000118,46
A000119,28
A000120,0
A000121,71
A000122,229
A000123,23
A000124,28
A000125,50
A000126,230
A000127,16
A000128,42
A000129,49
A000130,14
A000131,71
A000132,4
A000133,231
A000134,11
A000135,58
A000136,0
A000137,89
A000138,232
A000139,2
A000140,54
A000141,51
A000142,67
A000143,2
A000144,64
A000145,24
A000146,94
A000147,20
A000148,51
A000149,5
A000150,42
A000151,31
A000152,1
A000153,7
A000154,80
A000155,40
A000156,4
A000157,33
A000158,11
A000159,17
A000160,59
A000161,233
A000162,96
A000163,3
A000164,78
A000165,48
A000166,50
A000167,57
A000168,34
A000169,77
A000170,11
A000171,60
A000172,91
A000173,28
A000174,24
A000175,82
A000176,23
A000177,81
A000178,0
A000179,52
A000180,8
A000181,3
A000182,21
A000183,28
A000184,234
A000185,86
A000186,17
A000187,56
A000188,14
A000189,64
A000190,61
A000191,8
A000192,73
A000193,70
A000194,32
A000195,235
A000196,117
A000197,5
A000198,3
A000199,1
A000200,236
A000201,10
A000202,8
A000203,6
A000204,55
A000205,44
A000206,237
A000207,7
A000208,76
A000209,78
A000210,8
A000211,68
A000212,35
A000213,0
A000214,70
A000215,10
A000216,65
A000217,59
A000218,238
A000219,1
A000220,49
A000221,8
A000222,21
A000223,60
A000224,31
A000225,67
A000226,17
A000227,6
A000228,239
A000229,240
A000230,34
A000231,22
A000232,22
A000233,79
A000234,69
A000235,1
A000236,39
A000237,63
A000238,41
A000239,13
A000240,28
A000241,241
A000242,81
A000243,49
A000244,7
A000245,93
A000246,96
A000247,49
A000248,100
A000249,242
A000250,243
A000251,244
A000252,20
A000253,25
A000254,47
A000255,71
A000256,97
A000257,48
A000258,22
A000259,245
A000260,41
A000261,10
A000262,246
A000263,68
A000264,78
A000265,30
A000266,39
A000267,247
A000268,42
A000269,85
A000270,60
A000271,63
A000272,12
A000273,36
A000274,40
A000275,248
A000276,19
A000277,28
A000278,45
A000279,72
A000280,249
A000281,19
A000282,1
A000283,51
A000284,61
A000285,46
