account_id,total_orders,total_amount,avg_order_value,distinct_devices,distinct_addresses,distinct_phones,distinct_payment_instruments,total_delivered_orders,total_pending_orders,coupon_usage_rate,discount_dependency_score,distinct_coupon_count,max_discount_ratio,rare_coupon_count,total_returns,avg_return_lag_hours,total_refunds,total_refund_amount,total_disputes,total_failed_orders,return_rate,refund_rate,dispute_rate,account_age_days,orders_last_24h,orders_last_7d,orders_last_30d,refunds_last_24h,refunds_last_7d,refunds_last_30d,return_rate_last_30d,account_lifetime_days,avg_order_gap_days,recent_activity_ratio,evening_order_ratio,transaction_burst_score,refund_burst_score,account_creation_burst_score,accounts_per_device,shared_device_count,accounts_per_address,shared_address_count,accounts_per_phone,shared_phone_count,accounts_per_instrument,shared_instrument_count,has_shared_device_and_address,has_shared_payment_and_phone,shared_entity_types_count,shared_ip_prefix_count,degree_centrality,eigenvector_centrality,pagerank,triangle_count,clustering_coefficient,connected_component_size,shared_edge_count,shared_edge_weight_sum,edge_shares_device,edge_shares_payment,edge_shares_phone,edge_shares_address,edge_shares_ip,edge_shares_coupon,community_id,community_size,community_return_rate,community_refund_rate,community_avg_order_value,community_total_orders,community_avg_dispute_rate,community_max_return_rate,community_avg_coupon_usage,neighbor_avg_return_rate,looks_bargain,looks_office
A000000,1.0,3250.0,3250.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,9.335416666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,6.666888896296543e-05,6.152058524048807e-07,2.351319309053006e-05,0,0.0,23658,2,1.7,1,0,0,1,0,0,66,203,0.11032242251454075,0.10509953921283971,5324.368920214979,604.0,0.0069939912304444315,1.0,0.15157851180018667,0.125,0,1
A000001,5.0,11620.0,2324.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,38.41736111111111,0.0,0.0,2.0,0.0,0.0,0.0,0.0,22.483569470213997,5.620892367553496,0.0,0.2,0.0,0.0,127.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,6.666888896296543e-05,5.10064757000446e-07,3.6529266202921945e-05,0,0.0,23658,2,2.0,0,2,0,0,0,0,52,226,0.1242361989043405,0.10868450625087793,6190.036557100716,775.0,0.016261061946902654,1.0,0.2004951538137379,0.0,0,0
A000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8.623611111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421438564405073e-38,6.0531521215317065e-06,0,0.0,1,0,0.0,0,0,0,0,0,0,207,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A000003,1.0,24000.0,24000.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,1.0,24000.0,0.0,0,1.0,1.0,0.0,34.44583333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,5.0,4.0,1.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.00010000333344444814,9.70133600326848e-05,3.2243554675425005e-05,1,0.3333333333333333,23658,3,3.0,1,0,2,0,0,0,20,295,0.1492050040355125,0.13944444444444445,5812.458178638687,895.0,0.004378531073446327,1.0,0.18394538606403013,0.13333333333333333,0,0
A000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,36.35347222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421438564405073e-38,6.0531521215317065e-06,0,0.0,1,0,0.0,0,0,0,0,0,0,208,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A000005,5.0,83130.0,16626.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,17.23472222222222,0.0,1.0,5.0,0.0,0.0,0.0,0.0,8.800174242140312,2.200043560535069,0.2,0.2,0.0,0.0,81.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,0.00013333777792593087,1.5845511246656736e-05,3.607109910467309e-05,0,0.0,23658,4,3.7,1,1,1,1,0,0,22,281,0.1345949325486692,0.12665701242213698,5602.0137637175,824.0,0.010887985087273342,1.0,0.14883969332367908,0.12152777777777778,0,1
A000006,2.0,30130.0,15065.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,120.0,1.0,6130.0,0.0,0,0.5,0.5,0.0,36.47569444444444,0.0,0.0,1.0,0.0,0.0,1.0,1.0,14.431736845780916,14.431736845780916,0.0,0.5,0.0,0.0,137.0,3.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,0.00013333777792593087,2.0400572985100566e-06,4.7151164481188004e-05,0,0.0,23658,4,3.0,1,1,0,1,1,0,15,301,0.14631083202511774,0.14067006268002943,6345.365336859523,954.0,0.014113668723303273,1.0,0.20617440883221616,0.125,0,0
A000007,3.0,20030.0,6676.666666666667,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,72.0,2.0,11890.0,0.0,0,0.6666666666666666,0.6666666666666666,0.0,26.6375,0.0,0.0,3.0,0.0,1.0,2.0,0.6666666666666666,5.504686089784572,2.75234304489228,0.0,0.3333333333333333,0.0,0.0,86.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.333444448148272e-05,1.1323851909389744e-07,1.8034063405879692e-05,0,0.0,23658,1,1.0,0,0,1,0,0,0,53,225,0.19144444444444444,0.17415873015873015,5607.4534920634915,666.0,0.002116402116402116,1.0,0.17982010582010582,0.0,0,0
A000008,1.0,6430.0,6430.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,32.62638888888889,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,70.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.333444448148272e-05,1.5991847437016782e-06,1.2699850942081996e-05,0,0.0,23658,1,0.7,0,0,0,1,0,0,9,323,0.16151742993848256,0.14506207586702943,5488.161316839335,970.0,0.0058148937405903345,1.0,0.1763815733629975,0.0,0,1
A000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,27.46527777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421438564405073e-38,6.0531521215317065e-06,0,0.0,1,0,0.0,0,0,0,0,0,0,209,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
