feature,importance
account_creation_burst_score,1200
account_age_days,1137
avg_order_value,776
total_amount,757
discount_dependency_score,460
accounts_per_device,302
total_refund_amount,285
accounts_per_address,278
orders_last_7d,278
coupon_usage_rate,243
shared_instrument_count,241
shared_device_count,240
accounts_per_instrument,240
accounts_per_phone,228
shared_address_count,208
total_orders,192
orders_last_30d,171
total_delivered_orders,170
distinct_addresses,163
distinct_devices,158
shared_ip_prefix_count,151
distinct_payment_instruments,132
avg_return_lag_hours,121
return_rate_last_30d,120
distinct_phones,113
total_pending_orders,107
return_rate,95
refunds_last_7d,94
orders_last_24h,76
shared_phone_count,60
refund_rate,54
dispute_rate,42
total_returns,30
total_refunds,26
refunds_last_30d,25
transaction_burst_score,13
total_disputes,11
refunds_last_24h,3
total_failed_orders,0
refund_burst_score,0
