feature,importance
account_creation_burst_score,829
account_age_days,722
total_amount,487
eigenvector_centrality,473
avg_order_value,448
community_avg_order_value,448
community_return_rate,337
community_refund_rate,321
shared_edge_weight_sum,310
community_size,274
clustering_coefficient,272
community_total_orders,251
discount_dependency_score,250
shared_instrument_count,204
orders_last_7d,203
total_refund_amount,163
shared_device_count,159
accounts_per_device,155
distinct_addresses,140
accounts_per_address,137
distinct_devices,135
coupon_usage_rate,128
distinct_payment_instruments,128
total_delivered_orders,126
triangle_count,122
distinct_phones,118
accounts_per_phone,117
total_orders,113
degree_centrality,106
accounts_per_instrument,106
edge_shares_device,92
shared_address_count,91
total_pending_orders,86
edge_shares_phone,86
orders_last_30d,82
refunds_last_7d,80
shared_ip_prefix_count,75
edge_shares_payment,67
edge_shares_coupon,64
avg_return_lag_hours,61
return_rate,58
refund_rate,56
edge_shares_address,55
return_rate_last_30d,51
orders_last_24h,48
shared_phone_count,25
edge_shares_ip,24
dispute_rate,22
shared_edge_count,20
refunds_last_30d,19
total_returns,16
transaction_burst_score,16
total_refunds,12
total_disputes,8
refunds_last_24h,3
connected_component_size,1
total_failed_orders,0
refund_burst_score,0
