feature,importance
ring_total_amount_sum,175
mean_account_risk,107
median_account_risk,88
shared_device_edges,77
min_account_risk,76
ring_community_refund_rate_mean,68
ring_community_return_rate_mean,66
ring_account_creation_burst_score_mean,64
member_count,48
ring_community_avg_order_value_mean,46
mean_edge_weight,45
ring_shared_edge_weight_sum_mean,43
max_account_risk,37
ring_return_rate_mean,35
p90_account_risk,34
ring_total_orders_sum,33
internal_edge_count,32
ring_discount_dependency_score_mean,32
std_account_risk,26
ring_total_refund_amount_sum,22
ring_refund_rate_mean,20
ring_shared_entity_types_count_mean,18
shared_payment_edges,11
ring_transaction_burst_score_mean,10
candidate_community_count,9
ring_total_refunds_sum,9
ring_return_rate_last_30d_mean,8
ring_avg_order_value_mean,8
internal_edge_density,5
max_edge_weight,0
ring_total_returns_sum,0
shared_coupon_edges,0
shared_ip_edges,0
shared_phone_edges,0
shared_address_edges,0
ring_total_disputes_sum,0
ring_dispute_rate_mean,0
ring_refund_burst_score_mean,0
