refund_id,order_id,account_id,refund_timestamp,refund_amount,refund_reason,refund_status,refund_method
REF0000000,ORD0000006,A000003,2026-01-23 08:46:56.973572601,24000.0,changed_mind,processed,bank_transfer
REF0000001,ORD0000013,A000006,2026-02-06 10:42:14.621977812,6130.0,defective,processed,original_payment
REF0000002,ORD0000016,A000010,2026-01-17 06:36:44.589708628,6040.0,size_fit,pending_review,original_payment
REF0000003,ORD0000017,A000010,2026-01-20 13:19:21.888186377,4170.0,not_as_described,processed,wallet
REF0000004,ORD0000027,A000015,2026-02-05 19:43:03.504814021,14010.0,defective,pending_review,wallet
REF0000005,ORD0000030,A000016,2026-02-12 15:06:12.271688937,2930.0,defective,processed,wallet
REF0000006,ORD0000036,A000019,2026-01-26 20:22:10.053919863,9070.0,not_as_described,processed,wallet
REF0000007,ORD0000042,A000020,2026-02-20 17:22:55.243690978,12000.0,not_as_described,processed,bank_transfer
REF0000008,ORD0000044,A000022,2026-02-07 16:16:43.368564412,1170.0,not_as_described,processed,wallet
REF0000009,ORD0000053,A000026,2026-02-08 05:35:04.614635272,4660.0,not_as_described,processed,bank_transfer
REF0000010,ORD0000054,A000026,2026-02-13 20:07:01.791129734,2280.0,not_as_described,processed,wallet
REF0000011,ORD0000056,A000027,2026-01-23 07:23:56.383324576,4720.0,size_fit,pending_review,bank_transfer
REF0000012,ORD0000060,A000028,2026-02-05 19:30:47.646505929,4870.0,size_fit,processed,wallet
REF0000013,ORD0000063,A000029,2026-02-16 08:03:24.740435108,2470.0,not_as_described,processed,original_payment
REF0000014,ORD0000073,A000030,2026-02-05 12:35:44.609641858,2490.0,defective,processed,original_payment
REF0000015,ORD0000082,A000034,2026-02-17 16:07:23.200241906,3960.0,size_fit,processed,original_payment
REF0000016,ORD0000090,A000037,2026-02-08 04:45:16.149627167,2120.0,not_as_described,processed,original_payment
REF0000017,ORD0000097,A000040,2026-02-03 01:43:37.543621471,3060.0,size_fit,processed,original_payment
REF0000018,ORD0000098,A000041,2026-02-10 03:46:05.903091694,2050.0,not_as_described,processed,bank_transfer
REF0000019,ORD0000121,A000051,2026-02-19 10:35:11.172863415,8430.0,changed_mind,pending_review,original_payment
REF0000020,ORD0000122,A000051,2026-02-23 14:30:45.503456434,6500.0,defective,processed,bank_transfer
REF0000021,ORD0000126,A000053,2026-02-02 04:55:18.196786737,6180.0,size_fit,processed,bank_transfer
REF0000022,ORD0000130,A000054,2026-01-24 03:40:54.464978280,2320.0,defective,pending_review,original_payment
REF0000023,ORD0000133,A000056,2026-01-29 13:35:41.648765152,2150.0,size_fit,processed,bank_transfer
REF0000024,ORD0000149,A000061,2026-02-22 09:05:10.170222737,9430.0,size_fit,processed,original_payment
REF0000025,ORD0000158,A000064,2026-02-05 02:01:58.454970423,2680.0,not_as_described,pending_review,original_payment
REF0000026,ORD0000160,A000067,2026-02-04 14:46:56.712161075,1010.0,size_fit,pending_review,bank_transfer
REF0000027,ORD0000161,A000068,2026-01-29 15:07:05.438532236,3420.0,changed_mind,processed,wallet
REF0000028,ORD0000164,A000069,2026-02-20 03:41:43.935720377,2870.0,defective,processed,bank_transfer
REF0000029,ORD0000166,A000069,2026-02-21 18:34:14.736643697,2700.0,not_as_described,processed,wallet
REF0000030,ORD0000171,A000071,2026-02-23 18:35:22.769455963,4840.0,changed_mind,processed,bank_transfer
REF0000031,ORD0000175,A000073,2026-01-29 10:58:01.565068950,4500.0,defective,processed,wallet
REF0000032,ORD0000176,A000073,2026-01-31 19:11:21.562319260,3720.0,not_as_described,processed,bank_transfer
REF0000033,ORD0000178,A000075,2026-02-02 01:36:36.036421232,8880.0,size_fit,pending_review,bank_transfer
REF0000034,ORD0000183,A000077,2026-02-22 16:06:38.978223851,12110.0,defective,processed,wallet
REF0000035,ORD0000187,A000080,2026-02-21 03:36:18.986621428,11000.0,not_as_described,pending_review,original_payment
REF0000036,ORD0000188,A000080,2026-02-23 08:02:49.780851269,1830.0,not_as_described,processed,wallet
REF0000037,ORD0000191,A000084,2026-01-24 19:32:30.271365502,2120.0,defective,pending_review,original_payment
REF0000038,ORD0000192,A000084,2026-01-24 17:55:09.619078342,6600.0,changed_mind,pending_review,bank_transfer
REF0000039,ORD0000194,A000087,2026-02-02 22:15:57.318800093,1370.0,not_as_described,processed,wallet
REF0000040,ORD0000202,A000092,2026-02-01 02:04:19.630280108,1130.0,size_fit,pending_review,original_payment
REF0000041,ORD0000203,A000092,2026-02-01 22:02:44.824007415,1140.0,changed_mind,pending_review,wallet
REF0000042,ORD0000207,A000094,2026-01-27 07:39:27.139975612,1470.0,size_fit,processed,bank_transfer
REF0000043,ORD0000232,A000105,2026-02-14 12:40:32.442925973,6700.0,size_fit,processed,bank_transfer
REF0000044,ORD0000233,A000105,2026-02-18 14:31:34.639308284,4900.0,changed_mind,pending_review,bank_transfer
REF0000045,ORD0000234,A000105,2026-02-22 14:50:54.053590814,12310.0,defective,pending_review,wallet
REF0000046,ORD0000237,A000107,2026-01-24 03:22:55.519067925,5000.0,not_as_described,processed,bank_transfer
REF0000047,ORD0000247,A000111,2026-02-09 08:17:48.962700359,7700.0,changed_mind,processed,wallet
REF0000048,ORD0000251,A000111,2026-02-18 14:23:40.120304604,3810.0,size_fit,processed,original_payment
REF0000049,ORD0000266,A000121,2026-02-12 23:45:28.118728478,2380.0,changed_mind,processed,bank_transfer
REF0000050,ORD0000286,A000129,2026-02-04 12:05:37.199935967,24000.0,changed_mind,processed,bank_transfer
REF0000051,ORD0000302,A000136,2026-01-17 04:00:07.996607909,2690.0,defective,pending_review,original_payment
REF0000052,ORD0000304,A000136,2026-01-21 18:58:47.805112458,6110.0,changed_mind,processed,wallet
REF0000053,ORD0000305,A000137,2026-02-17 14:00:15.254945107,1480.0,defective,pending_review,bank_transfer
REF0000054,ORD0000307,A000140,2026-02-11 14:05:24.010931541,23440.0,changed_mind,processed,original_payment
REF0000055,ORD0000310,A000141,2026-02-12 12:45:49.643746542,4210.0,defective,pending_review,wallet
REF0000056,ORD0000311,A000141,2026-02-21 14:52:46.633123735,4500.0,not_as_described,processed,bank_transfer
REF0000057,ORD0000312,A000142,2026-01-23 21:47:22.309735709,3460.0,not_as_described,processed,original_payment
REF0000058,ORD0000313,A000142,2026-01-31 17:05:28.166436119,3610.0,not_as_described,processed,wallet
REF0000059,ORD0000315,A000143,2026-01-27 06:14:35.578882124,23810.0,defective,processed,original_payment
REF0000060,ORD0000316,A000143,2026-01-29 21:18:53.359969389,4080.0,not_as_described,processed,bank_transfer
REF0000061,ORD0000319,A000145,2026-01-31 08:44:48.183337238,10360.0,not_as_described,processed,original_payment
REF0000062,ORD0000320,A000145,2026-02-02 12:33:27.107229367,8640.0,size_fit,processed,wallet
REF0000063,ORD0000330,A000150,2026-02-05 00:26:45.722408611,1770.0,changed_mind,processed,bank_transfer
REF0000064,ORD0000344,A000158,2026-02-24 08:12:19.748884439,15110.0,defective,processed,original_payment
REF0000065,ORD0000346,A000159,2026-01-29 11:24:20.485882140,6860.0,defective,processed,wallet
REF0000066,ORD0000354,A000165,2026-02-04 02:22:03.096345722,1820.0,not_as_described,pending_review,wallet
REF0000067,ORD0000357,A000166,2026-02-09 17:34:56.906481734,4190.0,defective,processed,bank_transfer
REF0000068,ORD0000364,A000169,2026-01-30 17:17:24.184675799,9000.0,changed_mind,pending_review,wallet
REF0000069,ORD0000369,A000169,2026-02-17 13:23:45.123416146,2190.0,changed_mind,processed,bank_transfer
REF0000070,ORD0000373,A000170,2026-02-11 02:03:36.666665936,1840.0,size_fit,processed,original_payment
REF0000071,ORD0000376,A000171,2026-02-15 01:00:59.721127877,23710.0,not_as_described,processed,bank_transfer
REF0000072,ORD0000380,A000172,2026-02-22 17:05:21.957587105,12680.0,changed_mind,pending_review,original_payment
REF0000073,ORD0000399,A000181,2026-01-29 16:26:01.487472669,1440.0,size_fit,processed,bank_transfer
REF0000074,ORD0000403,A000183,2026-02-21 10:38:36.591195322,2040.0,not_as_described,processed,wallet
REF0000075,ORD0000418,A000190,2026-02-04 08:51:21.906488029,8340.0,changed_mind,processed,bank_transfer
REF0000076,ORD0000425,A000193,2026-02-19 16:10:53.683060192,5990.0,defective,processed,wallet
REF0000077,ORD0000428,A000196,2026-01-26 06:42:59.226173820,1060.0,size_fit,processed,original_payment
REF0000078,ORD0000433,A000199,2026-01-31 02:28:51.351531430,4120.0,defective,processed,bank_transfer
REF0000079,ORD0000439,A000201,2026-02-26 00:57:13.322975213,3920.0,defective,processed,original_payment
REF0000080,ORD0000447,A000205,2026-02-07 14:09:52.746037100,1710.0,not_as_described,processed,original_payment
REF0000081,ORD0000461,A000211,2026-02-06 14:43:05.795243929,12000.0,size_fit,pending_review,wallet
REF0000082,ORD0000469,A000213,2026-01-31 13:16:15.930438800,3740.0,not_as_described,pending_review,wallet
REF0000083,ORD0000471,A000214,2026-01-26 14:48:13.813704235,3670.0,changed_mind,processed,wallet
REF0000084,ORD0000473,A000215,2026-02-12 12:05:13.558577123,6560.0,changed_mind,processed,wallet
REF0000085,ORD0000477,A000219,2026-02-22 00:29:31.162732628,8950.0,defective,processed,original_payment
REF0000086,ORD0000484,A000221,2026-02-13 10:05:58.806159623,24000.0,size_fit,processed,original_payment
REF0000087,ORD0000491,A000224,2026-02-10 22:40:46.268533251,2430.0,size_fit,processed,bank_transfer
REF0000088,ORD0000493,A000225,2026-02-16 02:05:57.454277234,6300.0,not_as_described,pending_review,original_payment
REF0000089,ORD0000497,A000227,2026-02-15 01:58:02.471068577,6770.0,defective,pending_review,original_payment
REF0000090,ORD0000501,A000231,2026-02-13 11:06:34.910171064,3160.0,not_as_described,processed,wallet
REF0000091,ORD0000510,A000235,2026-02-07 17:27:46.020682094,2640.0,not_as_described,processed,original_payment
REF0000092,ORD0000512,A000236,2026-02-10 10:59:19.379989992,3320.0,size_fit,pending_review,wallet
REF0000093,ORD0000513,A000237,2026-02-09 09:12:01.696998839,7780.0,size_fit,processed,bank_transfer
REF0000094,ORD0000522,A000240,2026-01-28 18:11:20.366243858,4800.0,size_fit,pending_review,original_payment
REF0000095,ORD0000523,A000240,2026-02-09 22:13:13.788371498,1380.0,defective,pending_review,original_payment
REF0000096,ORD0000538,A000246,2026-01-29 04:59:57.212853474,1190.0,defective,processed,wallet
REF0000097,ORD0000539,A000247,2026-02-10 03:10:27.757843766,2500.0,defective,processed,original_payment
REF0000098,ORD0000541,A000248,2026-02-16 01:26:06.155111894,3260.0,changed_mind,processed,bank_transfer
REF0000099,ORD0000551,A000256,2026-02-02 18:36:24.567029553,2150.0,defective,processed,wallet
REF0000100,ORD0000562,A000266,2026-01-31 21:32:14.940167180,8760.0,size_fit,processed,original_payment
REF0000101,ORD0000588,A000279,2026-01-29 09:27:50.359279030,4260.0,size_fit,pending_review,bank_transfer
REF0000102,ORD0000590,A000279,2026-02-18 08:46:17.564639370,2290.0,defective,processed,original_payment
REF0000103,ORD0000596,A000284,2026-02-08 06:48:42.653342683,6760.0,defective,pending_review,wallet
REF0000104,ORD0000597,A000285,2026-02-15 18:12:30.150331961,1230.0,changed_mind,processed,wallet
REF0000105,ORD0000599,A000286,2026-02-23 16:05:07.836696351,1580.0,size_fit,processed,wallet
REF0000106,ORD0000600,A000287,2026-02-06 02:01:33.338086470,1280.0,not_as_described,processed,wallet
